timestamp,cmd_v,cmd_omega,meas_v,meas_omega
6.349544853,0.5641477108001709,-0.0,-0.0155290532857179,0.0025293892598733
6.399544853,0.6228304505348206,-0.0,-0.0149904387071728,-0.0218017837231266
6.449544853,0.6814259886741638,-0.0,-0.0149904387071728,-0.0218017837231266
6.499544853,0.8865103721618652,-0.0,-0.0149143524467945,0.0027172861851995
6.549544853,0.8865103721618652,-0.0,-0.0152120199054479,0.0027172861851995
6.599544852999999,1.2088730335235596,-0.0,-0.0151308374479413,0.0241908188692093
6.649544852999999,1.5605334043502808,-0.0,-0.0117912022396922,0.0275512883004562
6.699544852999999,1.7657049894332886,-0.0,-0.0121593382209539,0.0003211169320659
6.749544852999999,1.912193775177002,-0.0,-0.0126233771443367,0.1141895140266339
6.799544852999999,1.9999998807907104,-0.0,-0.0126747237518429,0.1064535775973536
6.849544852999999,1.9999998807907104,0.0238240547478199,-0.0136636653915047,0.0594138113766803
6.899544852999998,1.9999998807907104,0.0384729392826557,0.0330012217164039,0.0562384455335252
6.949544852999998,1.9999998807907104,0.0677925050258636,0.0930865556001663,0.0829088557524252
6.999544852999998,1.9999998807907104,0.0824413895606994,0.0930865556001663,0.0834405304182216
7.049544852999998,1.9999998807907104,0.119063600897789,0.3882849514484405,0.0571922783786395
7.099544852999998,1.9999998807907104,0.1263880431652069,0.5894394516944885,0.0535199060812613
7.149544852999997,1.9999998807907104,0.1263880431652069,0.5894394516944885,0.0535199060812613
7.199544852999997,1.9999998807907104,0.1263880431652069,0.8056834936141968,-0.0121353732448388
7.249544852999997,1.9999998807907104,0.1337124854326248,1.2229421138763428,-0.0223181415088223
7.299544852999997,1.9999998807907104,0.1337124854326248,1.3570619821548462,-0.0083562862363886
7.349544852999997,1.9999998807907104,0.119063600897789,1.3570619821548462,0.0144254061642729
7.3995448529999965,1.9999998807907104,0.0897658318281173,1.5713841915130615,0.0104486230313789
7.449544852999996,1.9999998807907104,0.0531218238174915,1.6739797592163086,-0.009428094980471
7.499544852999996,1.9999998807907104,0.0018507295753806,1.825098991394043,0.0181916964034104
7.549544852999996,1.9999998807907104,-0.0,1.9184215068817136,0.0209397293672457
