timestamp,cmd_v,cmd_omega,meas_v,meas_omega,raw_timestamp,source_run,source_state,source_file,source_index
0.0,2.0,0.0,-0.017554797232151,-0.0655133835746034,0.1425654888153076,run_20260518_172344,s1,run_20260518_172344\s1\train_20260518_172344.csv,0
0.05000000000000002,2.0,0.0,0.0509620606899261,-0.1277535224197347,0.1925654888153076,run_20260518_172344,s1,run_20260518_172344\s1\train_20260518_172344.csv,0
0.1,2.0,0.0,0.0509620606899261,-0.1277535224197347,0.2425654888153076,run_20260518_172344,s1,run_20260518_172344\s1\train_20260518_172344.csv,0
0.15,2.0,0.0,0.1926949173212051,-0.0023631920990157,0.2925654888153076,run_20260518_172344,s1,run_20260518_172344\s1\train_20260518_172344.csv,0
0.19999999999999998,2.0,0.0,0.1926949173212051,-0.0023631920990157,0.3425654888153076,run_20260518_172344,s1,run_20260518_172344\s1\train_20260518_172344.csv,0
0.24999999999999992,2.0,0.0,0.367083191871643,0.0282074288099165,0.3925654888153075,run_20260518_172344,s1,run_20260518_172344\s1\train_20260518_172344.csv,0
0.29999999999999993,2.0,0.0,0.367083191871643,0.0282074288099165,0.4425654888153075,run_20260518_172344,s1,run_20260518_172344\s1\train_20260518_172344.csv,0
0.34999999999999987,2.0,0.0,0.5662738680839539,-0.1087968544175317,0.4925654888153075,run_20260518_172344,s1,run_20260518_172344\s1\train_20260518_172344.csv,0
0.3999999999999999,2.0,0.0,0.5662738680839539,-0.1087968544175317,0.5425654888153075,run_20260518_172344,s1,run_20260518_172344\s1\train_20260518_172344.csv,0
0.44999999999999996,2.0,0.0,0.7673083543777466,0.0797070380933898,0.5925654888153076,run_20260518_172344,s1,run_20260518_172344\s1\train_20260518_172344.csv,0
0.5,2.0,0.0,0.7673083543777466,0.0797070380933898,0.6425654888153076,run_20260518_172344,s1,run_20260518_172344\s1\train_20260518_172344.csv,0
0.55,2.0,0.0,0.9303693175315856,0.0200775901432215,0.6925654888153077,run_20260518_172344,s1,run_20260518_172344\s1\train_20260518_172344.csv,0
0.6000000000000001,2.0,0.0,0.9303693175315856,0.0200775901432215,0.7425654888153077,run_20260518_172344,s1,run_20260518_172344\s1\train_20260518_172344.csv,0
0.6500000000000001,2.0,0.0,1.0701196193695068,-0.013995043160841,0.7925654888153078,run_20260518_172344,s1,run_20260518_172344\s1\train_20260518_172344.csv,0
0.7000000000000002,2.0,0.0,1.0701196193695068,-0.013995043160841,0.8425654888153078,run_20260518_172344,s1,run_20260518_172344\s1\train_20260518_172344.csv,0
0.7500000000000002,2.0,0.0,1.2022825479507446,0.006620620090088,0.8925654888153078,run_20260518_172344,s1,run_20260518_172344\s1\train_20260518_172344.csv,0
0.8000000000000004,2.0,0.0,1.2022825479507446,0.006620620090088,0.942565488815308,run_20260518_172344,s1,run_20260518_172344\s1\train_20260518_172344.csv,0
0.8500000000000004,2.0,0.0,1.3016502857208252,0.0352580877075409,0.992565488815308,run_20260518_172344,s1,run_20260518_172344\s1\train_20260518_172344.csv,0
0.9000000000000004,2.0,0.0,1.3016502857208252,0.0352580877075409,1.042565488815308,run_20260518_172344,s1,run_20260518_172344\s1\train_20260518_172344.csv,0
0.9500000000000004,2.0,0.0,1.399709701538086,0.0476557285395197,1.092565488815308,run_20260518_172344,s1,run_20260518_172344\s1\train_20260518_172344.csv,0
1.0000000000000004,2.0,0.0,1.399709701538086,0.0476557285395197,1.142565488815308,run_20260518_172344,s1,run_20260518_172344\s1\train_20260518_172344.csv,0
