timestamp,state,segment,cmd_ideal_v,cmd_ideal_omega,vn_body_vx,vn_body_vy,vn_body_vz,odom_pose_x,odom_pose_y,odom_pose_z,odom_qx,odom_qy,odom_qz,odom_qw,odom_linear_x,odom_linear_y,odom_linear_z,odom_angular_x,odom_angular_y,odom_omega_z,controller_controller_state,controller_base_v,controller_base_omega,controller_applied_v,controller_applied_omega,controller_model_corrected_v,controller_model_corrected_omega,controller_delta_v,controller_delta_omega,controller_a_v,controller_a_omega,controller_b_v,controller_b_omega,controller_used_model_estimate,controller_used_model_applied,controller_history_len,controller_history_ready,controller_history_span_sec,controller_latest_meas_v,controller_latest_meas_omega,controller_right_rpm,controller_left_rpm,controller_can_right_rpm,controller_can_left_rpm,velocity_timestamp,odom_timestamp,can_timestamp,can_id,can_dlc,can_data_hex,can_right_rpm,can_left_rpm,debug_timestamp,valid_cmd,valid_velocity_body,valid_odom,valid_can,valid_debug,controller_node_time_sec
0.0018401145935058594,1,forward_2mps,2.0,0.0,-0.017775073647499084,0.012947825714945793,0.1279192715883255,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.04247927665710449,,0.06240725517272949,528,8,0000000000000000,0,0,nan,1,1,0,1,0,nan
0.05184011459350586,1,forward_2mps,2.0,0.0,-0.017775073647499084,0.012947825714945793,0.1279192715883255,,,,,,,,,,,,,,1.0,2.0,0.0,2.0,0.0,1.9266479782688533,0.16034196339678297,-0.07335202173114674,0.16034196339678297,0.9882493615150452,0.8193517923355103,0.09599136561155319,-0.1313764750957489,1.0,0.0,20.0,1.0,1.2412254810333252,-0.017771471291780472,-0.00035639067566215887,226.4465016188093,225.51318585637807,226.0,226.0,0.04247927665710449,,0.06240725517272949,528,8,0000000000000000,0,0,0.08231258392333984,1,1,0,1,1,1779092642.217506
0.10184011459350586,1,forward_2mps,2.0,0.0,-0.01755479723215103,0.013318800367414951,0.12830990552902222,82.75652546207397,-5.992801661351143,0.0,0.0,0.0,0.9919397085840181,0.12671075145485178,-0.0,0.0,0.0,0.0,0.0,-0.06551338357460344,1.0,2.0,0.0,2.0,0.0,1.9266479782688533,0.16034196339678297,-0.07335202173114674,0.16034196339678297,0.9882493615150452,0.8193517923355103,0.09599136561155319,-0.1313764750957489,1.0,0.0,20.0,1.0,1.2412254810333252,-0.017771471291780472,-0.00035639067566215887,226.4465016188093,225.51318585637807,226.0,226.0,0.12249112129211426,0.14256548881530762,0.06240725517272949,528,8,0000000000000000,0,0,0.08231258392333984,1,1,1,1,1,1779092642.217506
0.15184011459350588,1,forward_2mps,2.0,0.0,-0.01755479723215103,0.013318800367414951,0.12830990552902222,82.75652546207397,-5.992801661351143,0.0,0.0,0.0,0.9919397085840181,0.12671075145485178,-0.0,0.0,0.0,0.0,0.0,-0.06551338357460344,1.0,2.0,0.0,2.0,0.0,1.9266479782688533,0.16034196339678297,-0.07335202173114674,0.16034196339678297,0.9882493615150452,0.8193517923355103,0.09599136561155319,-0.1313764750957489,1.0,0.0,20.0,1.0,1.2412254810333252,-0.017775073647499084,-0.00035639067566215887,226.4465016188093,225.51318585637807,226.0,226.0,0.12249112129211426,0.14256548881530762,0.16240453720092773,528,8,e2000000e2000000,226,226,0.1822948455810547,1,1,1,1,1,1779092642.2376482
0.20184011459350587,1,forward_2mps,2.0,0.0,0.05096206068992615,0.018345855176448822,0.12162327021360397,82.7504297223502,-5.991191089091643,0.0,0.0,0.0,0.9916710798994496,0.1287962316648258,-0.16073040489301293,0.042467025022376016,0.0,0.0,0.0,-0.12775352241973476,1.0,2.0,0.0,2.0,0.0,1.9266479782688533,0.16034196339678297,-0.07335202173114674,0.16034196339678297,0.9882493615150452,0.8193517923355103,0.09599136561155319,-0.1313764750957489,1.0,0.0,20.0,1.0,1.2412254810333252,-0.017775073647499084,-0.00035639067566215887,226.4465016188093,225.51318585637807,226.0,226.0,0.22255635261535645,0.24244236946105957,0.16240453720092773,528,8,e2000000e2000000,226,226,0.1822948455810547,1,1,1,1,1,1779092642.2376482
0.25184011459350586,1,forward_2mps,2.0,0.0,0.05096206068992615,0.018345855176448822,0.12162327021360397,82.7504297223502,-5.991191089091643,0.0,0.0,0.0,0.9916710798994496,0.1287962316648258,-0.16073040489301293,0.042467025022376016,0.0,0.0,0.0,-0.12775352241973476,1.0,2.0,0.0,2.0,0.0,1.9266479782688533,0.16034196339678297,-0.07335202173114674,0.16034196339678297,0.9882493615150452,0.8193517923355103,0.09599136561155319,-0.1313764750957489,1.0,0.0,20.0,1.0,1.2412254810333252,-0.017775073647499084,-0.00035639067566215887,226.4465016188093,225.51318585637807,226.0,226.0,0.22255635261535645,0.24244236946105957,0.26227855682373047,528,8,e2000000e2000000,226,226,0.2821989059448242,1,1,1,1,1,1779092642.2580104
0.30184011459350585,1,forward_2mps,2.0,0.0,0.19269491732120514,0.00967548880726099,0.13155034184455872,82.74002426477402,-5.988404703445634,0.0,0.0,0.0,0.9914550896164959,0.13044847746733662,-0.23124670079077622,0.06192351302693151,0.0,0.0,0.0,-0.002363192099015716,1.0,2.0,0.0,2.0,0.0,1.9266479782688533,0.16034196339678297,-0.07335202173114674,0.16034196339678297,0.9882493615150452,0.8193517923355103,0.09599136561155319,-0.1313764750957489,1.0,0.0,20.0,1.0,1.2412254810333252,-0.017775073647499084,-0.00035639067566215887,226.4465016188093,225.51318585637807,226.0,226.0,0.32250285148620605,0.34253644943237305,0.26227855682373047,528,8,e2000000e2000000,226,226,0.2821989059448242,1,1,1,1,1,1779092642.2580104
0.35184011459350584,1,forward_2mps,2.0,0.0,0.19269491732120514,0.00967548880726099,0.13155034184455872,82.74002426477402,-5.988404703445634,0.0,0.0,0.0,0.9914550896164959,0.13044847746733662,-0.23124670079077622,0.06192351302693151,0.0,0.0,0.0,-0.002363192099015716,1.0,2.0,0.0,2.0,0.0,2.50130877108681,0.13190102659256378,0.5013087710868098,0.13190102659256378,0.8643274307250977,0.7465440034866333,-0.1619497835636139,-0.09846992045640945,1.0,0.0,20.0,1.0,1.241469144821167,-0.017775073647499084,-0.00035639067566215887,226.4465016188093,225.51318585637807,226.0,226.0,0.32250285148620605,0.34253644943237305,0.3623185157775879,528,8,e2000000e2000000,226,226,0.3822290897369385,1,1,1,1,1,1779092642.2774053
0.4018401145935058,1,forward_2mps,2.0,0.0,0.36708319187164307,-0.0034313141368329525,0.12858285009860992,82.73732761913546,-5.987682965762505,0.0,0.0,0.0,0.991463511701321,0.13038445062538961,-0.44323816868094673,0.11862948707969088,0.0,0.0,0.0,0.02820742880991651,1.0,2.0,0.0,2.0,0.0,2.50130877108681,0.13190102659256378,0.5013087710868098,0.13190102659256378,0.8643274307250977,0.7465440034866333,-0.1619497835636139,-0.09846992045640945,1.0,0.0,20.0,1.0,1.241469144821167,-0.017775073647499084,-0.00035639067566215887,226.4465016188093,225.51318585637807,226.0,226.0,0.42259836196899414,0.44241952896118164,0.3623185157775879,528,8,e2000000e2000000,226,226,0.3822290897369385,1,1,1,1,1,1779092642.2774053
0.4518401145935058,1,forward_2mps,2.0,0.0,0.36708319187164307,-0.0034313141368329525,0.12858285009860992,82.73732761913546,-5.987682965762505,0.0,0.0,0.0,0.991463511701321,0.13038445062538961,-0.44323816868094673,0.11862948707969088,0.0,0.0,0.0,0.02820742880991651,1.0,2.0,0.0,2.0,0.0,2.50130877108681,0.13190102659256378,0.5013087710868098,0.13190102659256378,0.8643274307250977,0.7465440034866333,-0.1619497835636139,-0.09846992045640945,1.0,0.0,20.0,1.0,1.241469144821167,-0.01755479723215103,-0.00035639067566215887,226.4465016188093,225.51318585637807,226.0,226.0,0.42259836196899414,0.44241952896118164,0.46238183975219727,528,8,e2000000e2000000,226,226,0.4822254180908203,1,1,1,1,1,1779092642.2973497
