epoch,train_loss,val_loss,val_rmse_v,val_rmse_omega
1,0.1104390115249573,0.09366648241378474,0.1772579699754715,0.13959597051143646
2,0.0707647144580279,0.05746103079018125,0.06909189373254776,0.11732617020606995
3,0.04004216255348566,0.027946062076337742,0.06768336892127991,0.0800396278500557
4,0.020841734395869213,0.010271853286077817,0.08257942646741867,0.04127490893006325
5,0.012144047313693,0.004887619423434923,0.031100161373615265,0.03299926221370697
6,0.00935311310253349,0.005421281671909054,0.02248348854482174,0.03575899079442024
7,0.006843670640423802,0.005741814817591575,0.04201122745871544,0.034635305404663086
8,0.005964992009485771,0.00490146534045062,0.021364916115999222,0.03395131975412369
9,0.0054430722763849845,0.004611840007635074,0.026291389018297195,0.03238813579082489
10,0.005082430919915346,0.003967625819231299,0.0205287653952837,0.030342314392328262
11,0.004775415847816139,0.003852304434359216,0.020286694169044495,0.02987537905573845
12,0.004550164599866593,0.003731929815739714,0.017203284427523613,0.029606500640511513
13,0.004362817097348171,0.0033611926794916607,0.017688019201159477,0.02794792316854
14,0.004221626439799213,0.0030998054927473435,0.0145881874486804,0.0269755981862545
15,0.004109820109090215,0.003071812945685425,0.015553082339465618,0.02677329070866108
16,0.004054704646616256,0.0027994938538984603,0.013043978251516819,0.025629093870520592
17,0.004038576689764888,0.0030076157498846283,0.015676233917474747,0.02644946053624153
18,0.003958961106473446,0.0027537958275384166,0.013030546717345715,0.025400053709745407
19,0.003960824905257879,0.0029416167484730056,0.014767799526453018,0.02620003931224346
20,0.003951805191462596,0.0028205368646674537,0.012578489258885384,0.025763574987649918
21,0.0038948097668809996,0.00282513979559488,0.014779871329665184,0.025634370744228363
22,0.003898233969866067,0.00276742555573137,0.01130007766187191,0.025577759370207787
23,0.0038817069680646093,0.0028255113420571293,0.0159457940608263,0.025552207604050636
24,0.003862770236034168,0.002846210861899422,0.012578253634274006,0.02588949166238308
25,0.0038399995300819373,0.0027327327203656143,0.011957934126257896,0.025368867442011833
26,0.0038343099963294774,0.0028011682872219304,0.013351145200431347,0.02561897225677967
27,0.0037991616653098707,0.002780403046195872,0.012822986580431461,0.025551829487085342
28,0.0038037124664562867,0.00285083955960375,0.012951478362083435,0.025891007855534554
29,0.00379381571118041,0.0027052459399478784,0.012736912816762924,0.025184322148561478
30,0.0037748371518658785,0.0028981502723777622,0.013585618697106838,0.026083778589963913
31,0.0037511846306877215,0.0027335355415913547,0.012243327684700489,0.025367146357893944
32,0.0037399305803299684,0.0027906972386887627,0.013350347056984901,0.02558194287121296
33,0.003801673036871872,0.0027936081999119676,0.012079820968210697,0.025674302130937576
34,0.003731195779528767,0.002688896231816716,0.011791085824370384,0.025171998888254166
35,0.003763635184336645,0.002738583342809426,0.01295775081962347,0.02534600906074047
36,0.0036921879282370363,0.002756024689667604,0.01271104160696268,0.025455914437770844
37,0.0036894822104985097,0.0027458063342372338,0.011942045763134956,0.025452570989727974
38,0.0036549224002856676,0.002733601994687718,0.01158962957561016,0.025414621457457542
39,0.003658025412680677,0.0027138647677947244,0.011782780289649963,0.0253000408411026
40,0.003653622652142016,0.0028335019605207528,0.013100272975862026,0.025812070816755295
41,0.003646888025774328,0.002667658831968761,0.011067379266023636,0.025112269446253777
42,0.0036366650537306582,0.0027234580186217953,0.011771561577916145,0.02535645291209221
43,0.003602485742335814,0.002851290681787085,0.011268177069723606,0.02601252868771553
44,0.003678623073900719,0.0026730959828381545,0.012062483467161655,0.02508891373872757
45,0.003602162852607958,0.002887125712993185,0.011518045328557491,0.02618107572197914
46,0.003608567404964254,0.0027289879045997298,0.01103886403143406,0.025435181334614754
47,0.0035983126713785302,0.002734618187374012,0.011440480127930641,0.025440791621804237
48,0.003576097092007954,0.002693281088438794,0.011952963657677174,0.02520374208688736
49,0.00355835311933281,0.0027736365086617368,0.011509062722325325,0.025638017803430557
50,0.0035420943967600254,0.0026597510137635343,0.010439625941216946,0.025124618783593178
51,0.003579928460330138,0.00264737186129049,0.011243307031691074,0.025021173059940338
52,0.003519720864507085,0.002722677806476978,0.010967187583446503,0.025414953008294106
53,0.0035491876067016157,0.0027827788573248605,0.011544889770448208,0.02568589150905609
54,0.0035670694179863534,0.0026459733166834384,0.01085993368178606,0.025040823966264725
55,0.0035987914586726585,0.002749385452009381,0.011128414422273636,0.025549687445163727
56,0.003509373946241591,0.002672946660414017,0.011813129298388958,0.025128493085503578
57,0.003472708136960099,0.0026928697613571462,0.01092629786580801,0.025281190872192383
58,0.003444983553164304,0.0028142892754454006,0.010322769172489643,0.02591681480407715
59,0.00345102723332187,0.002683621302077716,0.010825801640748978,0.02523786574602127
60,0.003503660006387431,0.0027101703013770245,0.01025593001395464,0.02540862001478672
61,0.0035031194319600505,0.0027267459226308754,0.010768912732601166,0.025468358770012856
62,0.003496833008884221,0.0026592847308518283,0.011391647160053253,0.025090999901294708
63,0.0034744337763354272,0.0026921110643234334,0.011325507424771786,0.025267349556088448
64,0.0035202887623515403,0.0028835537489147133,0.011530597694218159,0.02619762159883976
65,0.0035132142826073344,0.002697797461510881,0.011025314219295979,0.025314021855592728
66,0.0034378339154970904,0.0026371464061965212,0.009539016522467136,0.025093482807278633
67,0.0034098981045859672,0.0026842935197946556,0.01045671384781599,0.025279536843299866
68,0.003452106306780688,0.0028718627647287324,0.010302772745490074,0.02621138095855713
69,0.003405923645817187,0.002673480526597627,0.010643518529832363,0.025219403207302094
70,0.003474191592306327,0.0026375970571484576,0.008940200321376324,0.025133799761533737
71,0.003366795827938699,0.002771441558482901,0.010698460042476654,0.025709474459290504
72,0.003368527202023618,0.0027032948514607033,0.009185691364109516,0.025455772876739502
73,0.0033580426153491656,0.0027473671590178563,0.009959803894162178,0.0256350114941597
74,0.0033580286440762714,0.0027818444867854556,0.010370638221502304,0.025787420570850372
75,0.0033859465858331085,0.00265595181366099,0.009193474426865578,0.02521730400621891
76,0.0033394630985942647,0.002854561325692924,0.00984545610845089,0.026165509596467018
77,0.0034106606976138675,0.0026645314529912464,0.009630993008613586,0.02525104582309723
78,0.003400501706188036,0.0026893537880353737,0.010501665994524956,0.02532131038606167
79,0.0033217725961696685,0.0027027530177901877,0.011954372748732567,0.025319837033748627
80,0.0033416504038448086,0.0027869552748197575,0.0088700782507658,0.02589322440326214
