epoch,train_loss,val_loss,val_rmse_v,val_rmse_omega
1,1.1262939336452078,1.5712679624557495,1.4837584495544434,0.34290239214897156
2,1.0514885141494426,1.5352249145507812,1.4524825811386108,0.3464818000793457
3,0.9862916614146943,1.5006096363067627,1.4221302270889282,0.3497159481048584
4,0.9206356743548779,1.4629625082015991,1.3911561965942383,0.35182490944862366
5,0.8623479759439509,1.4262888431549072,1.3605233430862427,0.35376209020614624
6,0.807676415240511,1.386732816696167,1.3288441896438599,0.3548336923122406
7,0.7633308453762785,1.345237135887146,1.2969141006469727,0.35498157143592834
8,0.7206410245692476,1.3047641515731812,1.2659530639648438,0.3546982705593109
9,0.6807028357018816,1.2641931772232056,1.2357155084609985,0.35372617840766907
10,0.6435020586277577,1.222537636756897,1.2057455778121948,0.3519276976585388
11,0.6102693517157372,1.1813009977340698,1.1761280298233032,0.34980061650276184
12,0.580281430356046,1.1416653394699097,1.1480313539505005,0.3472929894924164
13,0.551244505922845,1.1022851467132568,1.1207607984542847,0.34423768520355225
14,0.5259488902193434,1.0634958744049072,1.0946277379989624,0.3406424820423126
15,0.5010638207831282,1.025528073310852,1.0693168640136719,0.3367338478565216
16,0.47463376953246744,0.9891074299812317,1.0448015928268433,0.33280783891677856
17,0.4550895715013463,0.9544234275817871,1.0209052562713623,0.3290261924266815
18,0.4327581507094363,0.9209493398666382,0.9975804686546326,0.32522690296173096
19,0.4124284275034641,0.8893969655036926,0.974919855594635,0.321666419506073
20,0.3952751060749622,0.8607659935951233,0.9534198641777039,0.3185771703720093
21,0.3770408293034168,0.8321881890296936,0.9314089417457581,0.3154837489128113
22,0.3604789178422157,0.8059127330780029,0.9100385308265686,0.31285351514816284
23,0.3442533978756438,0.782752275466919,0.8896609544754028,0.31091544032096863
24,0.32884863703808886,0.759718656539917,0.8700545430183411,0.3085770010948181
25,0.3156666644076084,0.739333987236023,0.8520692586898804,0.3065814971923828
26,0.30259133463210247,0.7182868719100952,0.8340919017791748,0.30416542291641235
27,0.2907808267055674,0.6980698108673096,0.8172441720962524,0.30155783891677856
28,0.2795169608390078,0.6787245869636536,0.8015260696411133,0.29879510402679443
