epoch,train_loss,val_loss,val_standard_loss,val_rmse_v,val_rmse_omega
1,1.097907436012713,0.4782847170008729,0.16629096875522312,0.5604425668716431,0.046423692256212234
2,0.9565485977007349,0.4439801216520221,0.1629097035389073,0.5523517727851868,0.04923592135310173
3,0.8998337426192391,0.42550543631544174,0.159021759122018,0.5500865578651428,0.041977934539318085
4,0.8685975985371032,0.4216779453667584,0.15803118351082138,0.5487019419670105,0.041277747601270676
5,0.8494079129963816,0.40902478479786425,0.15626816658784223,0.545820415019989,0.04067561402916908
6,0.8360310079023814,0.3970754310390018,0.15509283207110222,0.5433303117752075,0.041194476187229156
7,0.8266546925474196,0.40744694514779856,0.15424327192124943,0.5423356890678406,0.04021713137626648
8,0.8163386476497732,0.3816230566493723,0.15228026552705576,0.5404255986213684,0.0372256264090538
9,0.8069320133705736,0.37863032509949035,0.1513475136251639,0.5382927060127258,0.037924911826848984
10,0.7980294088550856,0.36619156628649757,0.15009880470519035,0.5373618602752686,0.03539123758673668
11,0.795389262575174,0.3759609069058437,0.15038440440664227,0.5362967848777771,0.03826723247766495
12,0.7906411547070716,0.3719577124181962,0.14935876044216534,0.5352139472961426,0.03680230304598808
13,0.7854005924159738,0.3667905376052225,0.1484517485199385,0.5335304141044617,0.036768849939107895
14,0.7802868040323596,0.3674702982831475,0.14808587552301142,0.533077597618103,0.03631852939724922
15,0.7767779313314012,0.36555821700206653,0.14810600797861617,0.5330882668495178,0.03638273477554321
16,0.7719570762911019,0.3478814619069068,0.14646776484337864,0.531056821346283,0.03441924601793289
17,0.7726469281557444,0.3553298915064098,0.14713749131619536,0.5309605002403259,0.036953359842300415
18,0.7672205798826042,0.3495411447539235,0.1460266789754495,0.5300658941268921,0.03473054617643356
19,0.7657539272206606,0.36020249848728936,0.14644922064432245,0.5297947525978088,0.036724790930747986
20,0.7641773930145361,0.3494482151917274,0.1454129141588874,0.5289866328239441,0.034585487097501755
21,0.7618199185829923,0.3506170731309234,0.14540369009340046,0.5287916660308838,0.0349297858774662
22,0.7608161843348703,0.3426027570339228,0.14492778805707465,0.528103232383728,0.03452536091208458
23,0.7581538039963073,0.3467787266369687,0.14471542529317716,0.5275946855545044,0.03472566604614258
24,0.7564059046559449,0.3557554830778514,0.14538898545977297,0.5279311537742615,0.03647958114743233
25,0.7586150112565856,0.3353025924093676,0.1440266344622271,0.5266311764717102,0.034061823040246964
26,0.7565058914899487,0.3389915273284281,0.14386187592484304,0.5267708897590637,0.03318693861365318
27,0.7530619855625701,0.34712197123379107,0.1444071467645121,0.526742696762085,0.03525090217590332
28,0.7538774155959974,0.3322961228770136,0.1435515878611053,0.5258398652076721,0.03386802598834038
29,0.7546045376599937,0.33835234448609763,0.14364545027546535,0.5260555744171143,0.03379867225885391
30,0.7505041165847018,0.36109031332249675,0.14505484586717277,0.526174008846283,0.03844422847032547
31,0.75154602798934,0.33245581941099356,0.1434040329116859,0.5247939229011536,0.03531715273857117
32,0.7493614582384633,0.33732228000827186,0.14314689926359037,0.5252143740653992,0.03359071910381317
33,0.7470661010036767,0.33328005020192125,0.1432088285881952,0.5248797535896301,0.034456681460142136
