timestamp_ns,timestamp_sec_from_start,topic,angular.x,angular.y,angular.z,linear.x,linear.y,linear.z
1768890676305850979,8.752220884,/aiformula_control/game_pad/cmd_vel,0.0,0.0,-0.0,1.9999998807907104,0.0,0.0
1768890676378775146,8.825145051,/aiformula_control/game_pad/cmd_vel,0.0,0.0,-0.0,1.9999998807907104,0.0,0.0
1768890676408472771,8.854842676,/aiformula_control/game_pad/cmd_vel,0.0,0.0,-0.0,1.9999998807907104,0.0,0.0
1768890676476078728,8.922448633,/aiformula_control/game_pad/cmd_vel,0.0,0.0,-0.0,1.9999998807907104,0.0,0.0
1768890676523574000,8.969943905,/aiformula_control/game_pad/cmd_vel,0.0,0.0,-0.0,1.9999998807907104,0.0,0.0
1768890676607213466,9.053583371,/aiformula_control/game_pad/cmd_vel,0.0,0.0,-0.0,1.9999998807907104,0.0,0.0
1768890676650575848,9.096945753,/aiformula_control/game_pad/cmd_vel,0.0,0.0,-0.0,1.9999998807907104,0.0,0.0
1768890676716243009,9.162612914,/aiformula_control/game_pad/cmd_vel,0.0,0.0,-0.0,1.9999998807907104,0.0,0.0
1768890676740379416,9.186749321,/aiformula_control/game_pad/cmd_vel,0.0,0.0,-0.0,1.9999998807907104,0.0,0.0
1768890676792110074,9.238479979,/aiformula_control/game_pad/cmd_vel,0.0,0.0,-0.0,1.9999998807907104,0.0,0.0
1768890676841222796,9.287592701,/aiformula_control/game_pad/cmd_vel,0.0,0.0,-0.0,1.9999998807907104,0.0,0.0
1768890676919425236,9.365795141,/aiformula_control/game_pad/cmd_vel,0.0,0.0,-0.0,1.9999998807907104,0.0,0.0
1768890676945443158,9.391813063,/aiformula_control/game_pad/cmd_vel,0.0,0.0,-0.0,1.9999998807907104,0.0,0.0
1768890677019241282,9.465611187,/aiformula_control/game_pad/cmd_vel,0.0,0.0,-0.0,1.9999998807907104,0.0,0.0
1768890677072166892,9.518536797,/aiformula_control/game_pad/cmd_vel,0.0,0.0,-0.0,1.9999998807907104,0.0,0.0
1768890677103615344,9.549985249,/aiformula_control/game_pad/cmd_vel,0.0,0.0,-0.0,1.9999998807907104,0.0,0.0
1768890677155427667,9.601797572,/aiformula_control/game_pad/cmd_vel,0.0,0.0,-0.0,1.9999998807907104,0.0,0.0
1768890677203914625,9.65028453,/aiformula_control/game_pad/cmd_vel,0.0,0.0,-0.0,1.9999998807907104,0.0,0.0
1768890677278240336,9.724610241,/aiformula_control/game_pad/cmd_vel,0.0,0.0,-0.0,1.9999998807907104,0.0,0.0
1768890677318454731,9.764824636,/aiformula_control/game_pad/cmd_vel,0.0,0.0,-0.0,1.9999998807907104,0.0,0.0
1768890677395770124,9.842140029,/aiformula_control/game_pad/cmd_vel,0.0,0.0,-0.0,1.9999998807907104,0.0,0.0
1768890677415184709,9.861554614,/aiformula_control/game_pad/cmd_vel,0.0,0.0,-0.0,1.9999998807907104,0.0,0.0
1768890677464915675,9.91128558,/aiformula_control/game_pad/cmd_vel,0.0,0.0,-0.0,1.9999998807907104,0.0,0.0
1768890677519003501,9.965373406,/aiformula_control/game_pad/cmd_vel,0.0,0.0,-0.0,1.9999998807907104,0.0,0.0
