timestamp_ns,timestamp_sec_from_start,topic,header.frame_id,header.stamp.nanosec,header.stamp.sec,twist.covariance,twist.twist.angular.x,twist.twist.angular.y,twist.twist.angular.z,twist.twist.linear.x,twist.twist.linear.y,twist.twist.linear.z
1768890668425149319,0.871519224,/aiformula_sensing/vectornav/velocity_body,vectornav,424415458,1768890668,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",-0.00024263933300971985,-0.0025464841164648533,0.0058835516683757305,-0.00952843576669693,-0.038583844900131226,-0.06429105997085571
1768890668476324454,0.922694359,/aiformula_sensing/vectornav/velocity_body,vectornav,474329081,1768890668,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",-0.00027579127345234156,-0.00021844852017238736,0.0034999302588403225,-0.011343802325427532,-0.03849102556705475,-0.06435223668813705
1768890668532124897,0.978494802,/aiformula_sensing/vectornav/velocity_body,vectornav,525229782,1768890668,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",-0.0010170764289796352,-0.000649769906885922,-0.0031063405331224203,-0.015179724432528019,-0.03582469001412392,-0.06417172402143478
1768890668592638938,1.039008843,/aiformula_sensing/vectornav/velocity_body,vectornav,575153005,1768890668,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",-0.0001939868088811636,0.00035872915759682655,0.0018294428009539843,-0.02347729727625847,-0.03573465719819069,-0.0641162097454071
1768890668649523069,1.095892974,/aiformula_sensing/vectornav/velocity_body,vectornav,625086277,1768890668,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0.0009010047651827335,-0.00016809145745355636,0.0024097287096083164,-0.027289068326354027,-0.03577801212668419,-0.0642319843173027
1768890668676692614,1.123062519,/aiformula_sensing/vectornav/velocity_body,vectornav,675047868,1768890668,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0.0005111692007631063,-0.0012594672152772546,-0.0008548825280740857,-0.02619200199842453,-0.03589248284697533,-0.06393779069185257
1768890668728140935,1.17451084,/aiformula_sensing/vectornav/velocity_body,vectornav,724909747,1768890668,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0.0005817459896206856,-0.0006359282415360212,-0.0003634089953266084,-0.021662872284650803,-0.031290203332901,-0.0633954107761383
1768890668831241482,1.277611387,/aiformula_sensing/vectornav/velocity_body,vectornav,774890762,1768890668,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",-0.0006817543180659413,-0.0005503352731466293,0.0013143743854016066,-0.016169734299182892,-0.031392499804496765,-0.0636102706193924
1768890668870714304,1.317084209,/aiformula_sensing/vectornav/velocity_body,vectornav,824747105,1768890668,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0.00044821109622716904,-0.00043721345718950033,-0.00017779780318960547,-0.010636367835104465,-0.03198998048901558,-0.06306371837854385
1768890668913079496,1.359449401,/aiformula_sensing/vectornav/velocity_body,vectornav,874706520,1768890668,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",-0.0002502771094441414,0.0006596232415176928,0.00018681539222598076,-0.006796484813094139,-0.03231845051050186,-0.06289509683847427
