step,time_sec,cmd_v,cmd_omega,ideal_x,ideal_y,ideal_theta,res_x,res_y,res_theta,pred_delta_x_body,pred_delta_y_body,pred_delta_theta,pred_v_next,pred_omega_next
0,0.0,4.0,0.0,0.19999999999998863,0.0,0.0,0.2001410722732544,0.001148058450780809,0.0009756814688444138,0.2001410722732544,0.001148058450780809,0.0009756814688444138,4.005643367767334,0.03902726247906685
1,0.04999999999999716,4.0,0.0,0.39999999999997726,0.0,0.0,0.40028092914475844,0.0024913902595017435,0.0019513629376888275,0.2001410722732544,0.001148058450780809,0.0009756814688444138,4.005643367767334,0.03902726247906685
2,0.09999999999999432,4.0,0.0,0.5999999999999659,0.0,0.0,0.6004193800905242,0.004029994147372375,0.0029270444065332413,0.2001410722732544,0.001148058450780809,0.0009756814688444138,4.005643367767334,0.03902726247906685
3,0.14999999999999147,4.0,0.0,0.7999999999999545,0.0,0.0,0.800556234587902,0.005763868649712189,0.003902725875377655,0.2001410722732544,0.001148058450780809,0.0009756814688444138,4.005643367767334,0.03902726247906685
4,0.19999999999998863,4.0,0.0,0.9999999999999432,0.0,0.0,1.0006913021157622,0.007693012115951978,0.004878407344222069,0.2001410722732544,0.001148058450780809,0.0009756814688444138,4.005643367767334,0.03902726247906685
5,0.2499999999999858,4.0,0.0,1.1999999999999318,0.0,0.0,1.2008243921546757,0.009817422709635416,0.0058540888130664825,0.2001410722732544,0.001148058450780809,0.0009756814688444138,4.005643367767334,0.03902726247906685
6,0.29999999999998295,4.0,0.0,1.3999999999999204,0.0,0.0,1.4009553141870967,0.012137098408420801,0.006829770281910896,0.2001410722732544,0.001148058450780809,0.0009756814688444138,4.005643367767334,0.03902726247906685
7,0.3499999999999801,4.0,0.0,1.599999999999909,0.0,0.0,1.6010838776975425,0.014652037004082985,0.00780545175075531,0.2001410722732544,0.001148058450780809,0.0009756814688444138,4.005643367767334,0.03902726247906685
8,0.39999999999997726,4.0,0.0,1.7999999999998977,0.0,0.0,1.801209892172776,0.01736223610251548,0.008781133219599724,0.2001410722732544,0.001148058450780809,0.0009756814688444138,4.005643367767334,0.03902726247906685
9,0.4499999999999744,4.0,0.0,1.9999999999998863,0.0,0.0,2.0013331671019863,0.020267693123732722,0.009756814688444138,0.2001410722732544,0.001148058450780809,0.0009756814688444138,4.005643367767334,0.03902726247906685
10,0.4999999999999716,4.0,0.0,2.199999999999875,0.0,0.0,2.201453511976971,0.023368405301872543,0.010732496157288551,0.2001410722732544,0.001148058450780809,0.0009756814688444138,4.005643367767334,0.03902726247906685
11,0.5499999999999687,4.0,0.0,2.3999999999998636,0.0,0.0,2.4015707362923164,0.0266643696851988,0.011708177626132965,0.2001410722732544,0.001148058450780809,0.0009756814688444138,4.005643367767334,0.03902726247906685
12,0.5999999999999659,4.0,0.0,2.599999999999852,0.0,0.0,2.60168464954558,0.03015558313610418,0.012683859094977379,0.2001410722732544,0.001148058450780809,0.0009756814688444138,4.005643367767334,0.03902726247906685
13,0.649999999999963,4.0,0.0,2.799999999999841,0.0,0.0,2.801795061237471,0.03384204233111319,0.013659540563821793,0.2001410722732544,0.001148058450780809,0.0009756814688444138,4.005643367767334,0.03902726247906685
14,0.6999999999999602,4.0,0.0,2.9999999999998295,0.0,0.0,3.0019017808720316,0.03772374376088532,0.014635222032666206,0.2001410722732544,0.001148058450780809,0.0009756814688444138,4.005643367767334,0.03902726247906685
15,0.7499999999999574,4.0,0.0,3.199999999999818,0.0,0.0,3.2020046179568187,0.04180068373021838,0.01561090350151062,0.2001410722732544,0.001148058450780809,0.0009756814688444138,4.005643367767334,0.03902726247906685
16,0.7999999999999545,4.0,0.0,3.3999999999998067,0.0,0.0,3.402103382003086,0.04607285835805203,0.016586584970355034,0.2001410722732544,0.001148058450780809,0.0009756814688444138,4.005643367767334,0.03902726247906685
17,0.8499999999999517,4.0,0.0,3.5999999999997954,0.0,0.0,3.6021978825259637,0.05054026357747146,0.017562266439199448,0.2001410722732544,0.001148058450780809,0.0009756814688444138,4.005643367767334,0.03902726247906685
18,0.8999999999999488,4.0,0.0,3.799999999999784,0.0,0.0,3.8022879290446414,0.05520289513571128,0.01853794790804386,0.2001410722732544,0.001148058450780809,0.0009756814688444138,4.005643367767334,0.03902726247906685
19,0.949999999999946,4.0,0.0,3.9999999999997726,0.0,0.0,4.0023733310825484,0.06006074859415954,0.019513629376888275,0.2001410722732544,0.001148058450780809,0.0009756814688444138,4.005643367767334,0.03902726247906685
20,0.9999999999999432,4.0,0.0,4.199999999999761,0.0,0.0,4.202453898167534,0.06511381932836198,0.02048931084573269,0.2001410722732544,0.001148058450780809,0.0009756814688444138,4.005643367767334,0.03902726247906685
21,1.0499999999999403,4.0,0.0,4.39999999999975,0.0,0.0,4.402529439832053,0.07036210252802642,0.021464992314577103,0.2001410722732544,0.001148058450780809,0.0009756814688444138,4.005643367767334,0.03902726247906685
22,1.0999999999999375,4.0,0.0,4.5999999999997385,0.0,0.0,4.602599765613342,0.07580559319702736,0.022440673783421516,0.2001410722732544,0.001148058450780809,0.0009756814688444138,4.005643367767334,0.03902726247906685
23,1.1499999999999346,4.0,0.0,4.799999999999727,0.0,0.0,4.802664685053603,0.08144428615341069,0.02341635525226593,0.2001410722732544,0.001148058450780809,0.0009756814688444138,4.005643367767334,0.03902726247906685
24,1.1999999999999318,4.0,0.0,4.999999999999716,0.0,0.0,5.002724007700185,0.08727817602939868,0.024392036721110344,0.2001410722732544,0.001148058450780809,0.0009756814688444138,4.005643367767334,0.03902726247906685
25,1.249999999999929,4.0,0.0,5.199999999999704,0.0,0.0,5.202777543105765,0.09330725727139504,0.025367718189954758,0.2001410722732544,0.001148058450780809,0.0009756814688444138,4.005643367767334,0.03902726247906685
26,1.299999999999926,4.0,0.0,5.399999999999693,0.0,0.0,5.40282510082853,0.09953152413999024,0.02634339965879917,0.2001410722732544,0.001148058450780809,0.0009756814688444138,4.005643367767334,0.03902726247906685
27,1.3499999999999233,4.0,0.0,5.599999999999682,0.0,0.0,5.602866490432357,0.10595097070996697,0.027319081127643585,0.2001410722732544,0.001148058450780809,0.0009756814688444138,4.005643367767334,0.03902726247906685
28,1.3999999999999204,4.0,0.0,5.79999999999967,0.0,0.0,5.802901521486993,0.11256559087030577,0.028294762596488,0.2001410722732544,0.001148058450780809,0.0009756814688444138,4.005643367767334,0.03902726247906685
29,1.4499999999999176,4.0,0.0,5.999999999999659,0.0,0.0,6.002930003568238,0.11937537832419082,0.029270444065332413,0.2001410722732544,0.001148058450780809,0.0009756814688444138,4.005643367767334,0.03902726247906685
30,1.4999999999999147,4.0,0.0,6.199999999999648,0.0,0.0,6.202951746258131,0.12638032658901602,0.030246125534176826,0.2001410722732544,0.001148058450780809,0.0009756814688444138,4.005643367767334,0.03902726247906685
31,1.549999999999912,4.0,0.0,6.399999999999636,0.0,0.0,6.4029665591451215,0.13358042899639105,0.03122180700302124,0.2001410722732544,0.001148058450780809,0.0009756814688444138,4.005643367767334,0.03902726247906685
32,1.599999999999909,4.0,0.0,6.599999999999625,0.0,0.0,6.602974251824257,0.1409756786921478,0.032197488471865654,0.2001410722732544,0.001148058450780809,0.0009756814688444138,4.005643367767334,0.03902726247906685
33,1.6499999999999062,4.0,0.0,6.7999999999996135,0.0,0.0,6.802974633897366,0.14856606863634692,0.03317316994071007,0.2001410722732544,0.001148058450780809,0.0009756814688444138,4.005643367767334,0.03902726247906685
34,1.6999999999999034,4.0,0.0,6.999999999999602,0.0,0.0,7.002967514973232,0.15635159160328435,0.03414885140955448,0.2001410722732544,0.001148058450780809,0.0009756814688444138,4.005643367767334,0.03902726247906685
35,1.7499999999999005,4.0,0.0,7.199999999999591,0.0,0.0,7.2029527046677835,0.16433224018149842,0.035124532878398895,0.2001410722732544,0.001148058450780809,0.0009756814688444138,4.005643367767334,0.03902726247906685
36,1.7999999999998977,4.0,0.0,7.399999999999579,0.0,0.0,7.4029300126042665,0.17250800677377678,0.03610021434724331,0.2001410722732544,0.001148058450780809,0.0009756814688444138,4.005643367767334,0.03902726247906685
37,1.8499999999998948,4.0,0.0,7.599999999999568,0.0,0.0,7.602899248413434,0.18087888359716364,0.03707589581608772,0.2001410722732544,0.001148058450780809,0.0009756814688444138,4.005643367767334,0.03902726247906685
38,1.899999999999892,4.0,0.0,7.799999999999557,0.0,0.0,7.802860221733719,0.1894448626829672,0.03805157728493214,0.2001410722732544,0.001148058450780809,0.0009756814688444138,4.005643367767334,0.03902726247906685
