t,x,y,theta,x_ref,y_ref,theta_ref,ex,ey,eth,v_cmd,omega_cmd,front_left_speed,front_right_speed,rear_caster_angle_deg,caster_ok,V,Vdot_theory
0.0,0.4,-0.6,0.6981317007977318,1.5,0.0,1.5707963267948966,1.2283214532427995,-0.2474397047838065,0.8726646259971647,2.6816185698758876,1.4190066328739601,2.454577508616054,2.908659631135721,-12.530183024421065,1.0,0.8743030975783652,-3.3109592294097383
0.02,0.4410847800803617,-0.5655257761875688,0.726511833455211,1.4999836666963087,0.0069999745926202575,1.5754629934615636,1.1718322566178792,-0.2754301176936909,0.8489511600063526,2.5749342777180217,1.3489067192020516,2.3591092026456937,2.79075935279035,-12.40859181139298,1.0,0.809333604775553,-3.0280726795301725
0.04,0.47957984239240414,-0.5313169353504568,0.7534899678392519,1.4999346671409368,0.013999796741626044,1.5801296601282298,1.1172496658335604,-0.3004122016196991,0.8266396922889778,2.4715723992440273,1.2840750889121435,2.2661203850180844,2.67702441346997,-12.309329747430777,1.0,0.7499092479315225,-2.767091021935611
0.06,0.5156304702899988,-0.49749652319934423,0.779171469617495,1.4998530024009844,0.020999314006722766,1.5847963267948968,1.0646123023847665,-0.32269578789625863,0.8056248571774018,2.3716558440081004,1.224086425834497,2.1758020158745808,2.56750967214162,-12.23106518491683,1.0,0.695600792072799,-2.526909297517792
0.08,0.5493789423783924,-0.46416573850012016,0.8036531981341848,1.4997386742549241,0.027998373954255515,1.589462993461563,1.0139342592269267,-0.3425586833323312,0.7858097953273782,2.275253997199635,1.1685467546699684,2.08828651645244,2.46222147794683,-12.172627140807162,1.0,0.6460006533903744,-2.306331180009829
0.1,0.5809631729820929,-0.43140679044189595,0.8270241332275843,1.499591685192565,0.03499682416052871,1.59412966012823,0.9652103011889913,-0.3602495657719651,0.7671055269006457,2.182393513848888,1.1170926458692834,2.003658690509803,2.3611283371879734,-12.132984468228766,1.0,0.6007246865294694,-2.1041175730217687
0.12,0.6105157821254209,-0.3992854599504987,0.8493659861449698,1.499412038414996,0.04199451221512558,1.598796326794897,0.9184201117983742,-0.375990779839583,0.7494303406499272,2.093067191805504,1.069389913638878,1.9219648056232834,2.2641695779877242,-12.1112279958896,1.0,0.5594130211338042,-1.9190225984606581
0.14,0.6381634974539947,-0.3678533753095593,0.8707537844177473,1.4991997378345179,0.04899128572422727,1.6034629934615632,0.8735317492169672,-0.3899809761910751,0.7327092090438159,2.0072412416403815,1.0251320034981934,1.8432201210806705,2.1712623622000926,-12.106555112046683,1.0,0.521730194193037,-1.7498196865964357
0.16,0.6640268098794764,-0.337150019935289,0.891256424487711,1.498954788074557,0.055986992313931686,1.6081296601282293,0.8305044494240783,-0.4023975629399083,0.7168732356405183,1.9248612257692614,0.9840382115314297,1.7674151119242327,2.08230733961429,-12.118256372006458,1.0,0.4873647717857954,-1.5953199731827847
0.18,0.6882198207926643,-0.3072044940868029,0.9109371887183393,1.498677194469565,0.06298147963357179,1.6127963267948964,0.7892908927145882,-0.41339895544663596,0.7018591380765571,1.8458568972198424,0.9458518363412736,1.6945206034052385,1.9971931910344463,-12.145703787967859,1.0,0.45602861070709066,-1.4543847761026973
