run_id,experiment_name,source_checkpoint,copied_checkpoint,epoch,datetime,best_val_loss,test_mse,rollout_position_error,rollout_heading_error,promoted_to_global_best,notes,one_step_test_mse,full_course_model_xy,full_course_cmd_xy,limited_closed_loop_200_error,closed_loop_ready,backward_ready
20260429_232308,exp_auto_target_source,E:\Mess\Projects\Programming\aiformula\neurokin_mpc\runs\20260429_232308\best.pt,E:\Mess\Projects\Programming\aiformula\neurokin_mpc\weights\epoch0050_20260429_232308.pt,50,20260429_232308,0.0014934204149477,0.0001315402623731,0.4699465846562061,0.0432896941881892,False,Not promoted: final_xy_error_model=35.63527281141826 exceeds limit 2.0; model does not beat command-only baseline,,,,,,
20260429_233220,exp_auto_target_source,E:\Mess\Projects\Programming\aiformula\neurokin_mpc\runs\20260429_233220\best.pt,E:\Mess\Projects\Programming\aiformula\neurokin_mpc\weights\epoch0050_20260429_233220.pt,50,20260429_233220,0.0014934204149477,0.0001315402623731,0.4699465846562061,0.0432896941881892,False,Not promoted: final_xy_error_model=35.63527281141826 exceeds limit 2.0; model does not beat command-only baseline,,,,,,
20260429_235357,exp_auto_target_source,E:\Mess\Projects\Programming\aiformula\neurokin_mpc\runs\20260429_235357\best.pt,E:\Mess\Projects\Programming\aiformula\neurokin_mpc\weights\epoch0050_20260429_235357.pt,50,20260429_235357,0.0014934204149477,0.0001315402623731,0.4699465846562061,0.0432896941881892,True,Full-trajectory promotion passed.,0.0001315402623731,0.4699465333729061,20.025005104512392,4.210096907006612,True,False
20260430_004732,exp_auto_target_source,E:\Mess\Projects\Programming\aiformula\neurokin_mpc\runs\20260430_004732\best.pt,E:\Mess\Projects\Programming\aiformula\neurokin_mpc\weights\epoch0050_20260430_004732.pt,50,20260430_004732,0.001493420414947744,0.0001315402623731643,0.46994658465620615,0.04328969418818929,False,Finished run best checkpoint copy. Promotion is pending final plotting/evaluation diagnostics.,,,,,,
