step,time_s,cmd_v,cmd_omega,ideal_x,ideal_y,ideal_theta,res_x,res_y,res_theta
0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.04999999999999716,2.0,0.026372017338871956,0.09999999999999432,0.0,0.0,0.09993568807840347,-3.781430496019311e-05,1.5297066056518815e-05
2,0.09999999999999432,2.0,0.05263995751738548,0.1999999710215204,6.593003379786594e-05,0.001318600866943523,0.19987451263065176,-2.2629737692516654e-05,0.0012208265015942743
3,0.14999999999999147,2.0,0.07870015501976013,0.29999959510179147,0.0003293896334553303,0.003950598742812648,0.29981144174417657,0.00015085617418012095,0.0035586659560067346
4,0.19999999999998863,2.0,0.10444974899291992,0.3999977793932509,0.0009211960588828339,0.007885606493800431,0.39973715514289676,0.0005961814898839703,0.006994252302320092
5,0.2499999999999858,2.0,0.1297871321439743,0.49999215661367447,0.001970860611586021,0.013108093943446131,0.49963844809031893,0.001428574306358989,0.011523152445079177
6,0.29999999999998295,2.0,0.15461231768131256,0.5999786108115466,0.0036060620856025864,0.019597450550644477,0.5995130608673712,0.0027885795174042785,0.017155076120616286
7,0.3499999999999801,2.0,0.17882730066776276,0.6999508380810592,0.0059521168276574984,0.027328066434709666,0.6993648968598445,0.004804062631016938,0.02388023699131736
8,0.39999999999997726,2.0,0.20233654975891113,0.7998999513713885,0.009131445265044984,0.036269431468097295,0.7992034724119164,0.0075951016874356335,0.031683465675087064
9,0.4499999999999744,2.0,0.2250472605228424,0.89981413789186,0.013263035807467722,0.04638625895604227,0.8990393437442933,0.011238342542693257,0.04054998999890813
10,0.4999999999999716,2.0,0.24686980247497559,0.9996783768341335,0.018461907595008514,0.05763862198218375,0.998860196736048,0.015832016996882126,0.05045271220114955
11,0.5499999999999687,2.0,0.2677180767059326,1.0994742242104703,0.024838574354286987,0.06998211210593183,1.0986420636277041,0.021467460436127003,0.061359478369922726
12,0.5999999999999659,2.0,0.2875097990036011,1.1991796705261097,0.03249851281391199,0.0833680159412277,1.1983641201913915,0.028235496878116138,0.07324499099013337
13,0.649999999999963,2.0,0.3061668276786804,1.2987690758170756,0.04154163963583929,0.09774350589140693,1.2980089761833298,0.03624769115435585,0.086066019930513
14,0.6999999999999602,2.0,0.32361555099487305,1.398213185275042,0.05206180160574678,0.11305184727534008,1.3975498347257174,0.0455851461452766,0.0997704483797861
15,0.7499999999999574,2.0,0.3397871255874634,1.4974792272295097,0.06414628485059726,0.1292326248250828,1.4969599803818168,0.05632863717877944,0.11430370642301568
16,0.7999999999999545,2.0,0.354617714881897,1.5965310937485813,0.07787534925955988,0.146221981104455,1.5962122578030726,0.0685548641120384,0.12960666532126197
17,0.8499999999999517,2.0,0.3680488169193268,1.6953296025884774,0.09332179437916331,0.16395286684854884,1.6952728252348286,0.08233282128899856,0.14561713600960502
18,0.8999999999999488,2.0,0.3800273537635803,1.793832837601221,0.11055056354639646,0.18235530769451413,1.7941060329405043,0.09772488831386389,0.16227050053385028
