step,time_s,cmd_v,cmd_omega,ideal_x,ideal_y,ideal_theta,res_x,res_y,res_theta
0,0.0,2.0,0.5235987901687622,0.0,0.0,0.0,0.0,0.0,0.0
1,0.04999999999999716,2.0007710456848145,0.5238006114959717,0.09998857723757551,0.0013089222127602843,0.026179939508436622,0.10001537948846817,0.0008168425410985947,0.024038448929786682
2,0.09999999999999432,2.003082752227783,0.524405837059021,0.19994712673867127,0.005236809551232246,0.05236997008323371,0.2000079013781996,0.00417054109687356,0.047966985031962395
3,0.14999999999999147,2.0069315433502197,0.525413453578949,0.29988376549227463,0.011790040906577903,0.07859026193618326,0.3000040453174151,0.009931790543500801,0.07196834310889244
4,0.19999999999998863,2.0123116970062256,0.5268219709396362,0.39980562787494056,0.020981224921619867,0.10486093461512921,0.4000375857601063,0.0181088742316652,0.0960705429315567
5,0.2499999999999858,2.019214630126953,0.5286291837692261,0.49971827787450906,0.03282913387093308,0.13120203316210954,0.5001358500341069,0.028713835332854546,0.120293403044343
6,0.29999999999998295,2.027630090713501,0.5308322906494141,0.5996250864684687,0.047358603628971714,0.15763349235056934,0.6003191298836493,0.041751004186861555,0.14465491846203804
7,0.3499999999999801,2.0375447273254395,0.5334279537200928,0.6995266692100386,0.06460040927217446,0.18417510688303854,0.7006063022243759,0.057234310832927154,0.16917702928185463
8,0.39999999999997726,2.048943519592285,0.5364121794700623,0.799420254312435,0.08459109938536384,0.21084650456904167,0.8010063471837935,0.07517440285797157,0.19388184137642384
9,0.4499999999999744,2.0618085861206055,0.5397802591323853,0.8992991232896066,0.10737280828766899,0.23766711354254325,0.9015347669485326,0.09558882255870774,0.2188019808381796
10,0.4999999999999716,2.076120376586914,0.5435270667076111,0.9991519956962276,0.13299302293797338,0.264656126499161,1.00221496698358,0.11850786246571063,0.24397354759275913
11,0.5499999999999687,2.0918567180633545,0.5476468205451965,1.0989624756353864,0.16150432689433397,0.29183247983453997,1.1030716963867027,0.14396645263718785,0.26943182200193405
12,0.5999999999999659,2.1089935302734375,0.5521332025527954,1.1987084563966581,0.19296409678482043,0.31921482086179825,1.2041230435050603,0.1720117441028448,0.29519823752343655
13,0.649999999999963,2.1275041103363037,0.556979238986969,1.2983615657732281,0.22743416889478446,0.34682148098943644,1.3053638097616613,0.2027277754612246,0.3212671931833029
14,0.6999999999999602,2.147359848022461,0.5621774792671204,1.3978865851797644,0.2649804542328072,0.3746704429387833,1.4067708989691068,0.23616821159195048,0.34765711426734924
15,0.7499999999999574,2.1685304641723633,0.5677199363708496,1.4972409128919493,0.30567252168376113,0.40277931690213775,1.5082916946957023,0.27241696070106125,0.374390235170722
16,0.7999999999999545,2.1909830570220947,0.5735980272293091,1.596374049905274,0.34958314341014934,0.4311653137206786,1.609861257534309,0.3115736526208798,0.40148623287677765
17,0.8499999999999517,2.2146830558776855,0.5798026919364929,1.69522705662786,0.3967877763226818,0.45984521508214243,1.7114193698151872,0.3537349986842603,0.42895100824534893
18,0.8999999999999488,2.239593982696533,0.5863243341445923,1.7937320718640783,0.4473640139389578,0.4888353496789654,1.8128928336516967,0.3990345446873377,0.45680567249655724
19,0.949999999999946,2.2656774520874023,0.5931529998779297,1.8918118419662957,0.5013909855784668,0.5181515663861933,1.914202873325297,0.44759388389551186,0.4850577414035797
20,0.9999999999999432,2.292893171310425,0.6002780199050903,1.9893792751652213,0.5589487057214612,0.5478092163800881,2.015252853246154,0.4995254056907807,0.513696139678359
21,1.0499999999999403,2.3211991786956787,0.6076885461807251,2.0863370257846734,0.6201173716663148,0.5778231173753409,2.1159568363506054,0.5548830778549251,0.5427172277122736
22,1.0999999999999375,2.3505518436431885,0.6153730750083923,2.1825771229063244,0.684976615459252,0.6082075446843754,2.2162278934041937,0.6137430097220901,0.5721289962530136
23,1.1499999999999346,2.380906105041504,0.6233197450637817,2.2779806378071474,0.7536047043284528,0.6389761984347933,2.3159830362355356,0.6762306007415378,0.6019753850996494
24,1.1999999999999318,2.412214756011963,0.6315163373947144,2.3724174055082337,0.8260776960966868,0.6701421856879806,2.4150828937891093,0.7424702402678741,0.6322528403252363
25,1.249999999999929,2.444429874420166,0.6399502158164978,2.4657457676610823,0.9024685220032582,0.7017180025577144,2.5133874803021232,0.8125744938129413,0.6629629246890545
26,1.299999999999926,2.477501392364502,0.648608386516571,2.557812428222391,0.9828460628027277,0.7337155133485375,2.610767406765522,0.8866274931348497,0.694123238325119
27,1.3499999999999233,2.511378765106201,0.6574774384498596,2.6484523150308075,1.0672741323893487,0.7661459326743641,2.707053386031928,0.964715099191895,0.7257679887115955
28,1.3999999999999204,2.5460095405578613,0.66654372215271,2.7374885730976617,1.1558104699371512,0.7990198045968553,2.802031917845923,1.046951308614534,0.7579074241220951
29,1.4499999999999176,2.5813403129577637,0.6757932901382446,2.824732578831322,1.248505642534909,0.8323469907044889,2.895523627284191,1.1334099495429257,0.7905444465577602
30,1.4999999999999147,2.617316484451294,0.6852118968963623,2.909984070623115,1.3454019416408538,0.8661366552113993,2.9873397951275713,1.224149015366515,0.8236849009990692
31,1.549999999999912,2.6538829803466797,0.694784939289093,2.9930313582023245,1.4465322381024757,0.9003972500562154,3.0772786194609147,1.3192198961373418,0.857334166765213
32,1.599999999999909,2.6909830570220947,0.7044976949691772,3.0736516485673175,1.5519188371664567,0.935136497020668,3.165123367252438,1.4186729151090374,0.8914953842759132
33,1.6499999999999062,2.7285594940185547,0.7143352031707764,3.151611433575773,1.6615722668613002,0.9703613817691249,3.25064106121307,1.522560687322412,0.9261670000851154
34,1.6999999999999034,2.766554594039917,0.7242823243141174,3.226667020854367,1.775490099222891,1.0060781419276617,3.333591382946784,1.630905414323984,0.9613649696111679
35,1.7499999999999005,2.8049097061157227,0.7343236207962036,3.298565172891256,1.8936557686950906,1.0422922581433656,3.413713091373131,1.7437159882189002,0.9971010982990265
36,1.7999999999998977,2.8435654640197754,0.7444437146186829,3.3670438479744624,2.0160373756366154,1.0790084391831736,3.490729746538863,1.8609879356495302,1.0333901718258858
37,1.8499999999998948,2.882462501525879,0.7546269297599792,3.431833067749355,2.1425865144840324,1.1162306249141056,3.564346064559954,1.9827064829825296,1.070248294621706
38,1.899999999999892,2.9215409755706787,0.7648576498031616,3.4926559231522405,2.273237160389993,1.1539619714021025,3.634261653235192,2.1088342852137787,1.1076853163540363
39,1.9499999999998892,2.960740089416504,0.775119960308075,3.5492296912156993,2.407904574456696,1.1922048538922585,3.700175948444732,2.2393084886332404,1.1457062400877476
40,1.9999999999998863,3.0,0.7853981852531433,3.601267069350901,2.5464842375931256,1.23096085190766,3.761779545058712,2.3740498341930776,1.1843072809278965
41,2.0499999999998835,3.039259910583496,0.7956763505935669,3.6484775699753276,2.688850937679886,1.270230761170315,3.8187739931467615,2.512944092056705,1.223475031554699
42,2.0999999999998806,3.0784590244293213,0.805938720703125,3.690569000775864,2.8348578477292636,1.310014578699991,3.870861586660432,2.6558610258374147,1.2631979808211327
43,2.149999999999878,3.117537498474121,0.8161693811416626,3.7272490837781787,2.9843357409192866,1.350311514735145,3.9177427314667685,2.8026464238001525,1.3034648522734642
44,2.199999999999875,3.1564345359802246,0.826352596282959,3.758227198273122,3.1370923603600387,1.391119983792226,3.9591188298543862,2.9531224671396274,1.3442718237638474
45,2.249999999999872,3.1950902938842773,0.8364726901054382,3.7832162081230085,3.292911818753591,1.4324376136063715,3.994691274048529,3.107087225542402,1.385612290352583
46,2.2999999999998693,3.233445405960083,0.8465140461921692,3.801934410724017,3.4515542275032187,1.474261248111641,4.024166697794289,3.2643141599977104,1.42747912555933
47,2.3499999999998664,3.2714405059814453,0.8564611077308655,3.8141075667616593,3.6127554538955264,1.516586950421247,4.047254667310374,3.424550322552385,1.4698654897511005
48,2.3999999999998636,3.3090169429779053,0.8662986159324646,3.8194710056908843,3.7762270186048936,1.5594100058077878,4.06367387356983,3.587519382264991,1.5127645693719387
49,2.4499999999998607,3.3461170196533203,0.8760113716125488,3.8177717988678435,3.9416562055766917,1.6027249366044085,4.073152861842957,3.752922730070092,1.5561698228120804
50,2.499999999999858,3.382683515548706,0.8855844736099243,3.8087709780111947,4.1087063723115484,1.6465255051850334,4.075431950239596,3.9204375381792396,1.6000744998455048
51,2.549999999999855,3.4186596870422363,0.8950030207633972,3.7922457831361918,4.2770174347327625,1.690804728865527,4.07026546513301,4.089717082118363,1.6444715559482574
52,2.599999999999852,3.4539904594421387,0.9042525887489319,3.7679919253269234,4.44620655936347,1.7355548799036944,4.057424213458358,4.260391056445628,1.6893535144627094
53,2.6499999999998494,3.488621234893799,0.913318932056427,3.735825833312284,4.615869128719463,1.7807675093411384,4.036697534130937,4.43206630400261,1.73471237719059
54,2.6999999999998465,3.522498607635498,0.9221879839897156,3.695586874130501,4.785579865920435,1.826433455943957,4.007895689726535,4.604327587909581,1.7805395536124706
55,2.7499999999998437,3.555570125579834,0.930846095085144,3.6471395170825396,4.954894216109206,1.8725428551434402,3.9708515208590796,4.77673835044684,1.8268264345824718
56,2.799999999999841,3.587785243988037,0.9392799735069275,3.590375423117442,5.1233499376347895,1.9190851598976948,3.9254258034129292,4.948840702407565,1.8735596388578415
57,2.849999999999838,3.619093894958496,0.9474765658378601,3.525215417213402,5.290468957002915,1.9660491585730384,3.87150644090717,5.120160968245705,1.9207281395792961
58,2.899999999999835,3.6494481563568115,0.9554232358932495,3.451611357002244,5.455759369085404,2.0134229868649287,3.8090115930507293,5.290209297688459,1.9683201052248478
59,2.9499999999998323,3.6788008213043213,0.9631077647209167,3.3695478229037583,5.618717720855038,2.0611941486595886,3.737892274444312,5.458481974855686,2.01632247492671
60,2.9999999999998295,3.707106828689575,0.9705182909965515,3.2790436606204065,5.778831422886914,2.109349536895632,3.658134425432062,5.624460632720973,2.0647175908088684
61,3.0499999999998266,3.7343225479125977,0.9776433706283569,3.180153295756078,5.935581405520944,2.157875451445457,3.5697556967287936,5.787617531407778,2.1134874783456326
62,3.099999999999824,3.760406017303467,0.9844719767570496,3.0729678429698972,6.088444905133354,2.2067576199768717,3.4728138013836736,5.947422590759217,2.162617512047291
63,3.149999999999821,3.7853169441223145,0.9909936785697937,2.9576159692412665,6.236898404139366,2.2559812188147212,3.3674034027413025,6.103342143658772,2.212092388421297
64,3.199999999999818,3.8090169429779053,0.9971983432769775,2.834264497504348,6.3804206913752815,2.3055309027432083,3.2536550391597405,6.254840769780873,2.261895701289177
65,3.2499999999998153,3.8314695358276367,1.003076434135437,2.703118727151852,6.518496027463214,2.355390819907054,3.131741775262715,6.401387651975402,2.312011383473873
66,3.2999999999998124,3.852640151977539,1.0086188316345215,2.564422464199734,6.65061737799119,2.4055446416138233,3.00187590662687,6.542458118586452,2.362422965466976
67,3.3499999999998096,3.8724958896636963,1.0138170719146729,2.4184577504253144,6.776289685500387,2.4559755831955465,2.864308521706731,6.677537359850313,2.413113534450531
68,3.3999999999998067,3.8910064697265625,1.0186631679534912,2.265544293592157,6.895033142513729,2.5066664367912774,2.719329390306393,6.806122950313897,2.4640658274292946
69,3.449999999999804,3.9081432819366455,1.0231494903564453,2.1060385480899173,7.006386471013866,2.557599595188949,2.567266571179177,6.927728387911519,2.5152622051537037
70,3.499999999999801,3.923879623413086,1.0272692441940308,1.9403325189903342,7.1099101149998924,2.608757069706768,2.4084861744693504,7.041885812820429,2.5666861310601234
71,3.549999999999798,3.9381914138793945,1.0310161113739014,1.7688522481446936,7.205189353043695,2.660120531916467,2.2433893628320183,7.148150301551985,2.618319895118475
72,3.5999999999997954,3.951056480407715,1.0343841314315796,1.5920559656616466,7.291837305416633,2.711671337485159,2.0724110763868926,7.246102919533479,2.6701447293162346
73,3.6499999999997925,3.9624552726745605,1.0373682975769043,1.410431979802008,7.369497767825775,2.763390544056735,1.896018522778025,7.335353418561306,2.722141604870558
74,3.6999999999997897,3.972369909286499,1.039963960647583,1.2244962567273068,7.437847873349385,2.815258958935577,1.714708406534167,7.4155397638141345,2.774290759116411
75,3.749999999999787,3.980785369873047,1.0421671867370605,1.0347897843678715,7.496600518045598,2.8672571569679532,1.5290058611852375,7.4863369592363025,2.826572686433792
76,3.799999999999784,3.9876883029937744,1.0439743995666504,0.8418756437012054,7.545506564235605,2.9193655163048033,1.339459848316053,7.547453097344163,2.878967672586441
77,3.849999999999781,3.9930684566497803,1.0453828573226929,0.6463359241148605,7.584356755450736,2.971564236283133,1.146642970659044,7.598639419102342,2.9314558282494545
78,3.8999999999997783,3.996917247772217,1.0463905334472656,0.4487683852639328,7.612983357151073,3.0238333791492646,0.9511464740261804,7.63968785287309,2.984017100185156
79,3.9499999999997755,3.9992289543151855,1.046995759010315,0.2497830344177131,7.631261467270989,3.076152905821625,0.7535768338750265,7.670432616094045,3.0366313233971596
80,3.9999999999997726,4.0,1.0471975803375244,0.04999852477460188,7.639110010688501,3.1285026937721376,0.5545522767786055,7.690751466569911,3.0892782397568226
81,4.04999999999977,3.9992289543151855,1.046995759010315,-0.14996149714561843,7.636492388553161,3.1808625727890107,0.35469908550719864,7.700566648109794,3.141937520354986
82,4.099999999999767,3.996917247772217,1.0463905334472656,-0.34947209444229316,7.623416781743569,3.2332123607395236,0.15464796993882188,7.699845471969816,3.1945888064801693
83,4.149999999999764,3.9930684566497803,1.0453828573226929,-0.5479107923510326,7.599936101744196,3.2855318874118837,-0.044969784635710885,7.688600551051683,3.2472117468714714
84,4.199999999999761,3.9876883029937744,1.0439743995666504,-0.7446612719717167,7.566147590360098,3.3378010302780154,-0.24352599759649676,7.666889683277723,3.299786005169153
85,4.249999999999758,3.980785369873047,1.0421671867370605,-0.9391170046271274,7.522192074997335,3.389999750256345,-0.4403993926557253,7.6348153762683015,3.352291326969862
86,4.299999999999756,3.972369909286499,1.039963960647583,-1.1306848262816307,7.4682528802532,3.442108109593195,-0.6349792147052628,7.5925240417963895,3.404707483947277
87,4.349999999999753,3.9624552726745605,1.0373682975769043,-1.3187883247155567,7.4045544282250795,3.494106307625571,-0.8266688616990783,7.540204821410113,3.457014374434948
88,4.39999999999975,3.951056480407715,1.0343841314315796,-1.5028711335747642,7.331360510971629,3.5459747225044134,-1.0148892838445622,7.478088078107866,3.509192142635584
89,4.449999999999747,3.9381914138793945,1.0310161113739014,-1.6823999658232267,7.248972295475434,3.5976939290759895,-1.1990822735817634,7.406443589164634,3.561221122741699
90,4.499999999999744,3.923879623413086,1.0272692441940308,-1.8568674837857797,7.157726044449792,3.6492447346446815,-1.3787134819984705,7.325578466661112,3.613081853836775
91,4.549999999999741,3.9081432819366455,1.0231494903564453,-2.025794870881617,7.057990622555287,3.7006081968543802,-1.5532752546219704,7.235834812856864,3.6647551357746124
92,4.5999999999997385,3.8910064697265625,1.0186631679534912,-2.188734181364973,6.9501647720216315,3.7517656713721994,-1.7222891857649667,7.137587143930437,3.7162220291793346
93,4.649999999999736,3.8724958896636963,1.0138170719146729,-2.3452703755286204,6.834674224646335,3.802698829769871,-1.8853084556568322,7.031239584244839,3.7674639336764812
94,4.699999999999733,3.852640151977539,1.0086188316345215,-2.4950230888751475,6.711968647309776,3.853389683365602,-2.0419197954681043,6.917222920877211,3.818462550640106
95,4.74999999999973,3.8314695358276367,1.003076434135437,-2.6376480640234212,6.582518490856071,3.903820624947325,-2.1917452226216363,6.795991490870539,3.8691999688744545
96,4.799999999999727,3.8090169429779053,0.9971983432769775,-2.7728382626713226,6.446811767324183,3.9539744466540943,-2.334443441382292,6.668019951232044,3.919658664613962
