step,time_s,cmd_v,cmd_omega,ideal_x,ideal_y,ideal_theta,res_x,res_y,res_theta
14,0.6999999999999602,2.0,-0.7853981852531433,1.3305316655195596,-0.3752487500135867,-0.5497787296771691,1.3587645534344537,-0.29649551657136924,-0.5058654248714447
15,0.7499999999999574,2.0,-0.7853981852531433,1.4147479764541768,-0.4291591194596351,-0.5890486389398241,1.4475037173376386,-0.34335764157636145,-0.542059987783432
16,0.7999999999999545,2.0,-0.7853981852531433,1.4967828484306882,-0.48633424290543914,-0.628318548202479,1.5344908300122653,-0.393395251427231,-0.5782560370862484
17,0.8499999999999517,2.0,-0.7853981852531433,1.5765097896154734,-0.546685960449875,-0.667588457465134,1.6196118172948413,-0.4465435982329751,-0.6144528575241566
18,0.8999999999999488,2.0,-0.7853981852531433,1.6538058668371083,-0.6101212141136907,-0.7068583667277889,1.702754920485815,-0.5027335929883326,-0.6506497822701931
19,0.949999999999946,2.0,-0.7853981852531433,1.7285518951404162,-0.6765421913281722,-0.7461282759904438,1.7838107454571253,-0.5618918498882607,-0.6868460029363632
20,0.9999999999999432,2.0,-0.7853981852531433,1.80063262156104,-0.7458464757550441,-0.7853981852530988,1.8626727286710292,-0.6239406107092546,-0.7230408452451229
21,1.0499999999999403,2.0,-0.7853981852531433,1.8699369028371693,-0.8179272052050484,-0.8246680945157537,1.9392363608799388,-0.6887952577681917,-0.7592323534190655
22,1.0999999999999375,2.0,-0.7853981852531433,1.9363578767844043,-0.8926732364117036,-0.8639380037784087,2.01340318095009,-0.7563777837852205,-0.795423861593008
23,1.1499999999999346,2.0,-0.7853981852531433,1.9997931270695075,-0.969969316406176,-0.9032079130410636,2.0850760539099915,-0.8265996771222295,-0.8316153697669506
24,1.1999999999999318,2.0,-0.7853981852531433,2.0601448411289747,-1.0496962602290134,-0.9424778223037186,2.1541611110665415,-0.8993689694084456,-0.8678068779408932
25,1.249999999999929,2.0,-0.7853981852531433,2.1173199609889273,-1.131731134704724,-0.9817477315663735,2.2205678729431897,-0.9745903559897807,-0.9039983861148357
26,1.299999999999926,2.0,-0.7853981852531433,2.1712303267537707,-1.2159474479958339,-1.0210176408290284,2.2842093677793085,-1.052165320747651,-0.9401898942887783
27,1.3499999999999233,2.0,-0.7853981852531433,2.221792812542371,-1.3022153446441418,-1.0602875500916833,2.3450022454355683,-1.1319922651237924,-0.9763814024627209
28,1.3999999999999204,2.0,-0.7853981852531433,2.268929454662146,-1.390401805798436,-1.0995574593543382,2.4028668865561382,-1.2139666411820957,-1.0125729106366634
29,1.4499999999999176,2.0,-0.7853981852531433,2.3125675718234344,-1.4803708543199319,-1.1388273686169932,2.4577275068447495,-1.297981088533187,-1.048764418810606
30,1.4999999999999147,2.0,-0.7853981852531433,2.3526398772087824,-1.5719837644491759,-1.1780972778796481,2.5095122563180454,-1.3839255749424297,-1.0849559269845486
31,1.549999999999912,2.0,-0.7853981852531433,2.3890845822243465,-1.6650992757111245,-1.217367187142303,2.5581533134062324,-1.4716875404371943,-1.1211474351584911
32,1.599999999999909,2.0,-0.7853981852531433,2.4218454917734302,-1.7595738107285688,-1.256637096404958,2.603586973777791,-1.5611520447246623,-1.1573389433324337
33,1.6499999999999062,2.0,-0.7853981852531433,2.450872090905256,-1.8552616966080564,-1.295907005667613,2.64575373377191,-1.6522019177270935,-1.1935304515063763
34,1.6999999999999034,2.0,-0.7853981852531433,2.476119622705362,-1.952015389556947,-1.335176914930268,2.6845983683293784,-1.7447179130374033,-1.2297219596803188
35,1.7499999999999005,2.0,-0.7853981852531433,2.4975491573075237,-2.049685702385259,-1.3744468241929229,2.720070003319868,-1.8385788640940701,-1.2659134678542614
36,1.7999999999998977,2.0,-0.7853981852531433,2.515127651920789,-2.148122034541516,-1.4137167334555778,2.752122182170881,-1.9336618428708376,-1.302104976028204
37,1.8499999999998948,2.0,-0.7853981852531433,2.5288280017790714,-2.247172604327895,-1.4529866427182327,2.7807129267111,-2.0298423208733745,-1.3382964842021465
38,1.899999999999892,2.0,-0.7853981852531433,2.5386290819347344,-2.3466846829366137,-1.4922565519808877,2.8058047921484595,-2.1269943322320386,-1.374487992376089
39,1.9499999999998892,2.0,-0.7853981852531433,2.5445157798317335,-2.446504829946699,-1.5315264612435426,2.8273649161109224,-2.2249906386771476,-1.4106795005500317
40,1.9999999999998863,2.0,-0.7853981852531433,2.546479018608083,-2.546479129918005,-1.5707963705061976,2.8453650616857504,-2.323702896180689,-1.4468710087239742
41,2.0499999999998835,2.0,-0.7853981852531433,2.5445157710917194,-2.646453429717679,-1.6100662797688525,2.8597816544008867,-2.4230018230462216,-1.4830625168979168
42,2.0999999999998806,2.0,-0.7853981852531433,2.538629064468183,-2.7462735762131336,-1.6493361890315075,2.8705958131000275,-2.5227573692268237,-1.5192540250718594
43,2.149999999999878,2.0,-0.7853981852531433,2.528827975612915,-2.845785653965016,-1.6886060982941624,2.877793374670935,-2.6228388866493404,-1.555445533245802
44,2.199999999999875,2.0,-0.7853981852531433,2.515127617095374,-2.9448362225536737,-1.7278760075568174,2.8813649125946172,-2.7231153003218496,-1.5916370414197445
45,2.249999999999872,2.0,-0.7853981852531433,2.497549113876548,-3.0432725531731726,-1.7671459168194723,2.8813057492910716,-2.823455280000261,-1.627828549593687
46,2.2999999999998693,2.0,-0.7853981852531433,2.4761195707357935,-3.140942864128059,-1.8064158260821273,2.8776159622454296,-2.923727412189211,-1.6640200577676296
47,2.3499999999998664,2.0,-0.7853981852531433,2.450872030477228,-3.237696554869744,-1.8456857353447822,2.870300383906476,-3.023800372251993,-1.7002115659415722
48,2.3999999999998636,2.0,-0.7853981852531433,2.421845422980118,-3.3333844382116506,-1.8849556446074371,2.859368595357674,-3.123543096404107,-1.7364030741155148
49,2.4499999999998607,2.0,-0.7853981852531433,2.3890845051718244,-3.4278589703650506,-1.924225553870092,2.8448349137689943,-3.222824953365182,-1.7725945822894573
50,2.499999999999858,2.0,-0.7853981852531433,2.35263979201586,-3.520974478440908,-1.963495463132747,2.8267183736459667,-3.3215159154444485,-1.8087860904633999
51,2.549999999999855,2.0,-0.7853981852531433,2.3125674786214727,-3.612587385066927,-2.0027653723954018,2.8050427019005264,-3.419486728835705,-1.8449775986373425
