step,time_s,cmd_v,cmd_omega,ideal_x,ideal_y,ideal_theta,res_x,res_y,res_theta
0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.04999999999999716,4.0,0.0,0.19999999999998863,0.0,0.0,0.2001410722732544,0.001148058450780809,0.0009756814688444138
2,0.09999999999999432,4.0,0.0,0.39999999999997726,0.0,0.0,0.40028092914475844,0.0024913902595017435,0.0019513629376888275
3,0.14999999999999147,4.0,0.0,0.5999999999999659,0.0,0.0,0.6004193800905242,0.004029994147372375,0.0029270444065332413
4,0.19999999999998863,4.0,0.0,0.7999999999999545,0.0,0.0,0.800556234587902,0.005763868649712189,0.003902725875377655
5,0.2499999999999858,4.0,0.0,0.9999999999999432,0.0,0.0,1.0006913021157622,0.007693012115951978,0.004878407344222069
6,0.29999999999998295,4.0,0.0,1.1999999999999318,0.0,0.0,1.2008243921546757,0.009817422709635416,0.0058540888130664825
7,0.3499999999999801,4.0,0.0,1.3999999999999204,0.0,0.0,1.4009553141870967,0.012137098408420801,0.006829770281910896
8,0.39999999999997726,4.0,0.0,1.599999999999909,0.0,0.0,1.6010838776975425,0.014652037004082985,0.00780545175075531
9,0.4499999999999744,4.0,0.0,1.7999999999998977,0.0,0.0,1.801209892172776,0.01736223610251548,0.008781133219599724
10,0.4999999999999716,4.0,0.0,1.9999999999998863,0.0,0.0,2.0013331671019863,0.020267693123732722,0.009756814688444138
11,0.5499999999999687,4.0,0.0,2.199999999999875,0.0,0.0,2.201453511976971,0.023368405301872543,0.010732496157288551
12,0.5999999999999659,4.0,0.0,2.3999999999998636,0.0,0.0,2.4015707362923164,0.0266643696851988,0.011708177626132965
13,0.649999999999963,4.0,0.0,2.599999999999852,0.0,0.0,2.60168464954558,0.03015558313610418,0.012683859094977379
14,0.6999999999999602,4.0,0.0,2.799999999999841,0.0,0.0,2.801795061237471,0.03384204233111319,0.013659540563821793
15,0.7499999999999574,4.0,0.0,2.9999999999998295,0.0,0.0,3.0019017808720316,0.03772374376088532,0.014635222032666206
16,0.7999999999999545,4.0,0.0,3.199999999999818,0.0,0.0,3.2020046179568187,0.04180068373021838,0.01561090350151062
