epoch,train_loss,val_loss,val_rmse_right,val_rmse_left,val_split_rmse
1,11051.083756464373,4365.693856519441,42.45500564575195,45.874237060546875,28.356369018554688
2,4098.11587373337,3446.223608640161,40.564857482910156,43.48032760620117,23.651580810546875
3,3370.970832101695,2904.2622368438015,39.70826721191406,42.633628845214844,20.05878448486328
4,2964.0103668256056,2782.549059373711,39.4793586730957,42.15876770019531,19.274717330932617
5,2693.9360650263548,2256.8133355571886,39.11068344116211,41.36346435546875,14.566041946411133
6,2474.05276614436,2194.3625351304663,39.06430435180664,40.937477111816406,14.064112663269043
7,2404.279004735016,2120.2046180448124,38.722312927246094,40.9902458190918,13.296356201171875
8,2380.8601748886,2078.513680738191,38.406341552734375,40.85799026489258,12.990817070007324
9,2281.570686825937,1991.3722064833437,38.44841766357422,40.480716705322266,12.01208782196045
10,2206.0210686107675,2132.2013459158416,38.63957977294922,40.37554931640625,13.791075706481934
11,2225.1723460152934,1959.1193767081786,38.49153137207031,40.35362243652344,11.605969429016113
12,2197.8045762209103,1849.0667607776402,38.336578369140625,39.87033462524414,10.317925453186035
13,2124.7848479447644,1807.7115547003918,38.49230194091797,39.589324951171875,9.716062545776367
14,2082.623888601171,1896.7857251057137,38.449501037597656,39.611324310302734,11.151273727416992
15,2106.5575584508742,1839.5902160040223,38.52003479003906,39.54268264770508,10.260957717895508
16,2061.122715050294,1761.0812625696162,38.15376663208008,39.37403869628906,9.274453163146973
17,2032.7223982966098,1792.0310606500102,37.982479095458984,39.35421371459961,9.938080787658691
18,1985.6364193583142,1700.316026744276,37.93657684326172,39.027305603027344,8.546643257141113
19,1946.562943821412,1733.8577409498762,38.43688201904297,38.97711944580078,8.860549926757812
20,1931.9874286085071,1643.2900970761139,37.6907958984375,39.00753402709961,7.5756916999816895
21,1941.5391777502596,1588.0877093324566,37.65426254272461,38.4830322265625,6.798737049102783
22,1845.1769752988046,1710.061070609014,37.67079544067383,38.851905822753906,9.050865173339844
23,1948.5232884624218,1753.8094011061262,37.29671859741211,38.82217788696289,10.077685356140137
24,1888.9150974538068,1650.8436670083024,37.250789642333984,38.846065521240234,8.215726852416992
25,1819.5530991830785,1569.6882992986798,37.8836555480957,38.18759536743164,6.4011712074279785
26,1791.2705157224664,1531.3144861605301,36.90119552612305,37.424583435058594,7.0742669105529785
27,1742.8547049796227,1587.1950304893771,36.920040130615234,37.539798736572266,8.18537425994873
28,1744.3880759836761,1505.3957551761036,36.78409957885742,37.48944091796875,6.483327865600586
29,1693.699823317467,1518.9118539539502,36.94967269897461,37.04183578491211,7.075510025024414
30,1687.5328636115478,1433.3348304068688,36.052276611328125,36.62773132324219,6.126889705657959
31,1606.9169080807094,1408.548166608653,35.980857849121094,36.014732360839844,6.128263473510742
32,1631.1988573735302,1386.2242242290636,35.92274475097656,35.81525421142578,5.761838436126709
33,1571.5330294294774,1354.2735309663778,35.18758010864258,35.22746276855469,6.182251453399658
34,1461.9559227755924,1344.9365121570752,34.40858840942383,34.9117546081543,6.91618013381958
35,1416.4813517094333,1292.960678050227,34.172027587890625,34.80970764160156,5.864889621734619
36,1379.7774409357528,1266.5200122795482,33.9920539855957,34.78621292114258,5.282082557678223
37,1333.9625301334106,1316.6375591416563,34.67789077758789,34.36334991455078,6.45214319229126
38,1367.1523789725513,1252.0618135055693,33.71031188964844,33.72162628173828,6.197950839996338
39,1255.6116995157245,1231.2202317643873,33.29901123046875,33.47751235961914,6.2285895347595215
40,1269.298617059473,1177.4490229540531,32.895694732666016,33.00827407836914,5.5244669914245605
41,1276.4225189985953,1266.786292349938,32.80215835571289,33.27254867553711,7.642210960388184
42,1215.8338256792772,1201.135589096019,32.56489562988281,32.8563232421875,6.610033988952637
43,1190.5273454765957,1147.958571833746,32.711116790771484,32.682533264160156,5.1257476806640625
44,1190.042965124149,1130.809102174866,32.21989059448242,32.56029510498047,5.215603828430176
45,1171.8078891263149,1219.0829119288883,32.84211730957031,33.6197395324707,6.180051803588867
46,1146.1035566154599,1138.918372428063,32.505184173583984,33.14699935913086,4.516852855682373
47,1125.8040534940772,1113.2127230301155,31.94249725341797,32.18512725830078,5.324586391448975
48,1103.0135390836076,1105.111507806054,31.974735260009766,32.1367301940918,5.081843376159668
49,1139.3634187085963,1083.135307085396,32.01991653442383,32.031246185302734,4.375664234161377
50,1127.5137571040777,1180.6511689743193,32.116214752197266,32.215660095214844,6.974735260009766
51,1137.5627756402043,1281.4373412683065,32.43304443359375,33.59674072265625,7.980350971221924
52,1156.6698450846584,1164.1028089869533,32.12834548950195,32.58893966674805,6.242494583129883
53,1135.4106754427078,1091.820450282333,32.03171157836914,32.26808547973633,4.401951789855957
54,1103.6623278648883,1111.914286497009,32.0012321472168,32.070865631103516,5.3399152755737305
55,1110.4127535678372,1072.2244232479889,31.82131004333496,31.873891830444336,4.392874240875244
56,1071.103604684962,1060.8413964199153,31.812559127807617,31.925453186035156,3.87904953956604
57,1095.781537683209,1185.499611631085,31.998830795288086,32.58999252319336,6.890016078948975
58,1135.1253471320556,1091.9624216816212,31.90589141845703,32.11916732788086,4.728898048400879
59,1079.1165050172065,1082.1451049401815,31.67990493774414,31.763423919677734,5.027151584625244
60,1091.3633248681226,1033.3080482608807,31.51590919494629,31.616352081298828,3.5033626556396484
61,1071.0353650601614,1045.7764106977104,31.495563507080078,31.635047912597656,4.055405139923096
62,1137.9574003961502,1087.441459429146,31.563188552856445,31.578866958618164,5.496828556060791
63,1080.517333930419,1060.1364294876753,31.5996150970459,31.733491897583008,4.3702311515808105
64,1056.7149742806312,1080.2807399636447,31.78816032409668,31.659517288208008,4.960135459899902
65,1068.4393666873052,1040.5131948741748,31.538738250732422,31.650806427001953,3.7511281967163086
66,1063.2778316535573,1034.5597290441935,31.384117126464844,31.415645599365234,4.022493839263916
67,1049.1954876415464,1084.5718466377887,31.59058952331543,31.615177154541016,5.346767425537109
68,1056.829864199799,1011.9753047326217,31.313732147216797,31.210020065307617,3.3960750102996826
69,1052.1350953831868,1013.8240785504331,31.370086669921875,31.294553756713867,3.2680742740631104
70,1020.737650869928,1032.6674152034343,31.40959930419922,31.380434036254883,3.956103801727295
71,1024.89213352662,1015.2317724448226,31.3814697265625,31.323007583618164,3.2761130332946777
72,1052.1484852835347,1040.5244752990925,31.73586654663086,31.6671199798584,3.4383697509765625
73,1051.497076965289,1047.8727358575702,31.299348831176758,31.183265686035156,4.891517639160156
74,1041.679764786738,1066.945842679971,31.422025680541992,31.20519256591797,5.364024639129639
75,1035.6071188574633,1005.1026470322813,31.3326473236084,31.052804946899414,3.267202854156494
76,1008.4690998622349,1003.402434799144,31.010183334350586,31.046159744262695,3.677881956100464
77,1030.0912582203218,1058.399185231023,31.570068359375,31.398378372192383,4.727905750274658
78,1016.8477612162243,1090.9609632838283,31.395851135253906,31.31785011291504,5.989910125732422
79,1049.362087276734,1101.765654006807,31.68890953063965,31.68695831298828,5.702780723571777
80,1039.4431257234435,1018.9715910555899,31.416471481323242,31.42906379699707,3.2406957149505615
81,1058.8503088188982,1024.995099461118,31.211179733276367,31.176044464111328,4.15848970413208
82,1021.2021163012384,1025.5110274211015,31.138769149780273,31.192167282104492,4.248383522033691
83,1028.233642869488,1020.3491162592821,31.25591468811035,31.167072296142578,3.920360565185547
84,1004.4526223016763,1002.1200470877166,31.051956176757812,30.92356300354004,3.732551336288452
85,1013.1795798035963,1012.0733243734529,31.005638122558594,31.016523361206055,4.095041751861572
86,1045.4621579765094,1029.6565924414708,31.055156707763672,31.401784896850586,4.255572319030762
87,1020.3891674942815,1023.4604371325804,31.2675838470459,31.081581115722656,4.143916606903076
88,984.8178954819135,1031.2386680074258,31.66140365600586,31.60828971862793,3.1829347610473633
89,1014.50048431008,1067.760560089212,31.5103816986084,31.621843338012695,4.873593330383301
90,1024.7062330232482,1043.3180934792697,31.559431076049805,31.524890899658203,4.013515949249268
91,994.6409934986767,1064.7944416511964,31.235366821289062,31.6905517578125,4.991517543792725
92,1030.0812223399378,1007.1294283725248,31.137535095214844,31.170387268066406,3.4869275093078613
93,1019.0511135333329,1095.2830484220297,31.816556930541992,31.974084854125977,5.095180988311768
94,1008.3435216037691,979.9330603470503,30.829483032226562,30.861310958862305,3.0773119926452637
95,984.9723408117659,972.9616570299609,30.8251895904541,30.652435302734375,3.0546326637268066
96,975.980253184533,968.2908351382014,30.783117294311523,30.544559478759766,3.0506136417388916
97,994.0971797325318,991.9694526093234,30.943710327148438,30.754154205322266,3.661299228668213
98,1005.5967785027274,1022.025672635623,31.293235778808594,31.22731590270996,3.861374616622925
99,983.5138034415886,978.0426214740614,30.626352310180664,30.685131072998047,3.567458152770996
100,966.996304205823,995.5673965101588,31.00050163269043,31.026201248168945,3.3492696285247803
101,1028.262686663335,1000.2956728290017,30.916561126708984,30.629140853881836,4.211885929107666
102,975.8957931971786,950.510839682601,30.61349868774414,30.50977897644043,2.3384737968444824
103,963.2650026027351,956.7127270588387,30.688138961791992,30.53965187072754,2.5433177947998047
104,964.5003906341725,993.8909940310438,31.01738739013672,30.70783042907715,3.7092201709747314
105,952.2377152287809,957.5074724757632,30.75422477722168,30.604812622070312,2.3223214149475098
106,969.2087132994828,960.0792248414294,30.600448608398438,30.518875122070312,2.9492251873016357
107,981.736751410715,954.3418073496803,30.607757568359375,30.55067253112793,2.52730393409729
108,953.3187648983622,1041.0390318817037,31.022384643554688,31.22486114501953,4.907520771026611
109,978.9375429922317,977.4598022058066,30.68914031982422,30.425872802734375,3.8118209838867188
110,951.6384214188118,968.4433271452145,30.781835556030273,30.688804626464844,2.809983253479004
111,964.3717149548348,966.7275108614377,30.653125762939453,30.457660675048828,3.316157102584839
112,937.6843083501706,978.7583322052908,30.892677307128906,30.695314407348633,3.1823878288269043
