timestamp,pose_delta_x,pose_delta_theta,odom_vx_dt,vn_body_vx_dt,odom_omega_dt,imu_gyro_dt
6.349544853,,,,-0.0007851142990655672,,-6.840004758045288e-07
6.399544853,,,,-0.0007599938926327173,,4.476945942863387e-06
6.449544853,,,,-0.0007477291200240106,,-5.730618460089082e-05
6.499544853000001,,,,-0.0007497969541857573,,-3.7010499188179867e-05
6.549544853,0.0080001970465588,0.0006953911787263,0.0033301392881183883,-0.0007602455255252673,0.0005700469374455729,-4.928187702307482e-05
6.599544853,0.0104518439956586,0.0005596485581831,0.011889356264407102,-0.0007299644860636474,0.0012761164810992604,-3.875877346560486e-05
6.649544853,0.031978118683518,0.0005876390643084,0.022609435840111235,-0.0005941039204729529,0.0009144717492433667,-7.810618339139971e-06
6.699544853,0.0592334589380164,0.0012914741191978,0.03581712852479495,-0.0006167663339767587,-0.0009676186902804987,-6.169615284694587e-05
6.749544853000001,0.0678468648822647,0.0043018329280244,0.04768804267946975,-0.0006322545090159628,0.0018084639525894736,1.1886279136784958e-05
6.799544853,0.0674792894363992,0.0048797837695211,0.05908863690061501,-0.0006457645461913177,0.005485946022169381,3.648462008787987e-05
6.849544853,0.0472530166436164,0.0021180097030004,0.066821380365013,-0.0006766464302316976,0.003336697415414693,-0.0005988415830291879
6.899544853,0.0877784471768701,0.0041169147523173,0.07161776534354548,0.0010744051794830253,0.0028362729260387855,-0.0011079772232040757
6.949544853000001,0.0852218891183826,0.0043145998361081,0.07682703463758067,0.0031785422214476587,0.0037839613121251918,0.0004728466861909983
6.999544853000001,0.0861533932321756,0.0036056278878698,0.0820417020276804,0.006947884969370716,0.00416612144589114,-3.801898898073986e-05
7.049544853,0.0679963726854725,0.0022186670299277,0.08608365505477929,0.01663786490454475,0.0030560304233216043,0.0009998380079311014
7.099544853,0.0908465944494253,0.0014255508127934,0.08938604091558511,0.025068396319073077,0.0027392942618790204,-0.00020329501629108928
7.149544853,0.1124744668457349,-7.934249142688143e-05,0.09344542575303012,0.03277385453593207,0.0011385662970299262,-0.0021389782939665305
7.199544853000001,0.0978168873789744,-0.0009112952355114,0.09739249854647247,0.04138255170355232,-0.001402693428285655,0.0026966648828065554
7.249544853000001,0.0662099737932682,-0.0002741607513214,0.10000028600496287,0.05714826935126675,-0.001149922609381926,0.0048029825428181835
7.299544853,0.0806699579702122,0.0003635324901787,0.10054881589004629,0.06545825621910142,-0.0005721461369114179,0.003191768144021634
7.349544853,0.105234511879657,0.0006459587459264,0.10139820640734395,0.0706287116010567,0.0001991095906000943,0.0031483382356720887
7.399544853,0.0827821538787241,0.0002025149831482,0.10218199487717419,0.07622185860443619,0.0006040272785579886,0.003951826566978922
7.449544853000001,0.0776135268124781,4.3517743385235175e-05,0.10274795778260147,0.08450785094165471,-0.000278688945599874,0.0031479077398311084
7.499544853000001,0.1227724589501586,0.0009744275608419,0.10406205398208755,0.08964711881861508,0.0006466507421700827,0.002573609983209646
7.549544853,0.2057859712992434,0.0010205161600661,0.1045906921641264,0.09362588156408087,0.0010032918543971714,-0.0009842815370502615
7.599544853,0.0826396992498063,0.0002109014391667,0.1051750067315566,0.09824060557573237,-0.0007936942463355122,-0.0006550070442328327
7.649544853,0.1449324618831608,0.0015707574609185,0.10620794265772401,0.10132210734874769,-0.0007982657237782963,0.0007470336425658207
7.699544853000001,0.0241923537873205,0.0004782951485121,0.10675959122045453,0.10305734267495356,0.001095268064737416,0.00032484821058204885
7.749544853000001,0.0409982193453715,0.0002355143553139,0.10668673961469881,0.10474958387507814,0.002470319136244461,0.0006345910042618278
7.799544853,0.1513686457385556,-0.0002453918906584,0.10746135235786652,0.10551783327783619,0.0009041160901207067,0.0013018275944263154
7.849544853,0.0902706832155006,0.000762554994394,0.10792314864762446,0.10677994914832063,0.0010378518462718612,5.3601710112374803e-05
7.899544853,0.2413614946470659,0.0020157175176137,0.10867798011867216,0.10741329589262465,0.0011438244337447312,0.0011754909876042967
7.949544853000001,0.0640381059525842,0.0002248776181268,0.10936433901189611,0.10824604323411219,0.0007394178233012723,-8.714220856896969e-05
7.999544853000001,0.2197965684034961,0.0015674230593556,0.10906334148651678,0.10968202192613977,0.0011982346906445557,0.0006691546027600676
8.049544853,0.1191842067366439,0.0006354849670665,0.10973963524109652,0.11178145393017583,0.0006820626914684047,0.001047525657888985
8.099544853000001,0.0617537451700599,0.0006606064111402,0.11030261332391747,0.11186084519809478,0.0009765390063331492,0.0011860784407361896
8.149544853,0.0284148360660729,0.0005026283571286,0.11085093042673769,0.11203451539241743,0.0017170045303575643,0.001547958267709982
8.199544853,0.0928875243082153,0.0003356803528231,0.11084044109791832,0.11255811490447236,0.002007212435280392,0.00035376533353489244
8.249544853,0.1620504691380387,0.0016980141516609,0.11068127835701444,0.1124151642643582,0.0005519241771257879,0.0011511508898275162
8.299544853,0.1408614627958251,0.0009845039910938,0.11091828187352606,0.11249460105263356,0.0012835658647639982,0.001624506432150378
8.349544853000001,0.0773860020907523,0.0002272741830013,0.11030669900556826,0.11281622013807166,-0.0003514603877041125,-0.000653403156615641
8.399544853,0.0928224119790208,0.0009463513198688,0.11057045062743891,0.11321797299937289,0.00041374999721091084,0.001344737944498524
8.449544853,0.087301257339076,0.0001679691292416,0.11024977034368524,0.11336558388312988,0.0009805238301251891,0.0002158187835165754
8.499544853,0.179594274632583,0.001617281618342,0.11147079490404853,0.11366152756065186,0.0004289883440204161,0.001069009769530285
8.549544853,0.1500561198440828,0.0015693997972643,0.11070206601942886,0.11324984866025703,0.00209650534158562,0.0012053348916793072
8.599544853000001,0.0418967466686862,0.0002388095290059,0.11130515867821496,0.11358502061121618,0.0008408171705211471,0.000982126475859244
