epoch,train_loss,val_loss,lr,elapsed_time,best_val_loss,best_metric_name,best_metric_value,best_epoch,early_stopping_counter,gradients_finite,improved,val_rollout_position_error_20,val_rollout_heading_error_20,rmse_delta_x_body_train,rmse_delta_x_body_val,train_rmse_delta_x_body,val_rmse_delta_x_body,rmse_delta_y_body_train,rmse_delta_y_body_val,train_rmse_delta_y_body,val_rmse_delta_y_body,rmse_delta_theta_train,rmse_delta_theta_val,train_rmse_delta_theta,val_rmse_delta_theta,rmse_v_next_train,rmse_v_next_val,train_rmse_v_next,val_rmse_v_next,rmse_omega_next_train,rmse_omega_next_val,train_rmse_omega_next,val_rmse_omega_next
11,0.00249587287123598,0.0018303956210227875,0.001,23.210741600007168,0.0018303956210227875,val_loss,0.0018303956210227875,11,0,True,True,0.008078946058495072,0.001084248535335064,0.00032262738132613454,0.00027939868406594667,0.00032262738132613454,0.00027939868406594667,0.0003034938502899325,0.00045021429818118937,0.0003034938502899325,0.00045021429818118937,0.0006847206855715976,0.0005662522852886095,0.0006847206855715976,0.0005662522852886095,0.012905096031704907,0.01117595628955727,0.012905096031704907,0.01117595628955727,0.027388827260591758,0.02265009202056395,0.027388827260591758,0.02265009202056395
12,0.0024776082516134138,0.0018162118222821376,0.001,25.09555700000783,0.0018162118222821376,val_loss,0.0018162118222821376,12,0,True,True,0.007532063513547442,0.0009308918379247189,0.00032069675881460147,0.0002722114257760677,0.00032069675881460147,0.0002722114257760677,0.00030212313770800115,0.00044713002041568966,0.00030212313770800115,0.00044713002041568966,0.0006823469706390342,0.0005652213967504592,0.0006823469706390342,0.0005652213967504592,0.0128278746653219,0.010888463488195799,0.0128278746653219,0.010888463488195799,0.027293878544114924,0.022608856039852847,0.027293878544114924,0.022608856039852847
13,0.0024581816504849535,0.0018064461736779275,0.001,27.00085740000941,0.0018064461736779275,val_loss,0.0018064461736779275,13,0,True,True,0.00742675567853101,0.0011684629134833813,0.0003188138758787939,0.0002684420131071896,0.0003188138758787939,0.0002684420131071896,0.00030094330590500924,0.0004418498658051168,0.00030094330590500924,0.0004418498658051168,0.000679763454066561,0.0005647200639657617,0.000679763454066561,0.0005647200639657617,0.012752556347469881,0.010737686390727537,0.012752556347469881,0.010737686390727537,0.027190537672308362,0.022588802524053302,0.027190537672308362,0.022588802524053302
14,0.0024370404309249733,0.0017911728720405493,0.001,28.859940100010135,0.0017911728720405493,val_loss,0.0017911728720405493,14,0,True,True,0.006880252523850434,0.0010158848017454147,0.0003173581525315489,0.00026131288439378567,0.0003173581525315489,0.00026131288439378567,0.00029941410662156386,0.00043966467220273584,0.00029941410662156386,0.00043966467220273584,0.0006768639889772242,0.0005633048905681472,0.0006768639889772242,0.0005633048905681472,0.012694328622418575,0.010452522785917193,0.012694328622418575,0.010452522785917193,0.02707455950419878,0.02253219571315492,0.02707455950419878,0.02253219571315492
15,0.0024141124703792255,0.0017804903146842945,0.001,30.755932500003837,0.0017804903146842945,val_loss,0.0017804903146842945,15,0,True,True,0.006120580842337018,0.0006743906997144222,0.0003162212020738616,0.00025205929589437086,0.0003162212020738616,0.00025205929589437086,0.00029809173451434047,0.0004385859189046113,0.00029809173451434047,0.0004385859189046113,0.000673609725240831,0.0005628772797468521,0.000673609725240831,0.0005628772797468521,0.012648850689528993,0.010082377741398965,0.012648850689528993,0.010082377741398965,0.026944388771117513,0.022515091140032126,0.026944388771117513,0.022515091140032126
16,0.0023960174366304304,0.0017688585782487845,0.001,32.83206369999971,0.0017688585782487845,val_loss,0.0017688585782487845,16,0,True,True,0.005293083155833542,0.00010745134204626083,0.00031492715366363835,0.0002482289716858293,0.00031492715366363835,0.0002482289716858293,0.0002969634348872786,0.0004340045351299467,0.0002969634348872786,0.0004340045351299467,0.000671097784772809,0.000561889058799183,0.000671097784772809,0.000561889058799183,0.012597091933534327,0.009929157146231214,0.012597091933534327,0.009929157146231214,0.026843911128701724,0.02247556154741215,0.026843911128701724,0.02247556154741215
17,0.0023688429476869098,0.0017645505513867428,0.001,34.70569790000445,0.0017645505513867428,val_loss,0.0017645505513867428,17,0,True,True,0.005172673090026365,0.0005455100908875465,0.00031395606496293526,0.00024479025867825524,0.00031395606496293526,0.00024479025867825524,0.00029672691860451014,0.00043141323834595025,0.00029672691860451014,0.00043141323834595025,0.0006670452780000153,0.0005619280101535993,0.0006670452780000153,0.0005619280101535993,0.012558240678574651,0.00979160982624915,0.012558240678574651,0.00979160982624915,0.02668181072691241,0.02247712134659423,0.02668181072691241,0.02247712134659423
18,0.002364166112201821,0.0017928046270691115,0.001,36.59792130001006,0.0017645505513867428,val_loss,0.0017645505513867428,17,1,True,False,0.003986731957840187,0.000916224904358387,0.0003132711525393444,0.00023828354253773622,0.0003132711525393444,0.00023828354253773622,0.00029642444400682815,0.00042698363107160993,0.00029642444400682815,0.00042698363107160993,0.0006664458303242634,0.0005686117571097872,0.0006664458303242634,0.0005686117571097872,0.012530846695864926,0.009531352612929637,0.012530846695864926,0.009531352612929637,0.02665783257868911,0.022744469965080758,0.02665783257868911,0.022744469965080758
19,0.0025873734347198083,0.0017534533451343405,0.001,36.89461109999684,0.0017534533451343405,val_loss,0.0017534533451343405,19,0,True,True,0.005194185324886873,0.0006896783597767353,0.00031234751428239655,0.00023559301410438916,0.00031234751428239655,0.00023559301410438916,0.00029686349372846075,0.0004455915589764102,0.00029686349372846075,0.0004455915589764102,0.0007005023474029885,0.0005593254742143664,0.0007005023474029885,0.0005593254742143664,0.012493898754638777,0.009423733625153877,0.012493898754638777,0.009423733625153877,0.0280200943987795,0.02237301889360659,0.0280200943987795,0.02237301889360659
20,0.0026169083610721,0.0019283462115081734,0.001,38.77742460000445,0.0017534533451343405,val_loss,0.0017534533451343405,19,1,True,False,0.004177174637259307,0.0006998861208558083,0.00031339869914486765,0.0002282076490487504,0.00031339869914486765,0.0002282076490487504,0.00029590610869176666,0.00042487135614041615,0.00029590610869176666,0.00042487135614041615,0.0007047836600465806,0.0005944439280899357,0.0007047836600465806,0.0005944439280899357,0.01253595381007214,0.00912831282207447,0.01253595381007214,0.00912831282207447,0.02819134511455093,0.02377775697409665,0.02819134511455093,0.02377775697409665
