timestamp,cmd_v,cmd_omega,actual_x,actual_y,actual_theta,cmd_baseline_x,cmd_baseline_y,cmd_baseline_theta,cmd_baseline_error_xy,cmd_baseline_error_theta
102.09955,1.9999999,0.0,0.06288721,-0.09267666,0.0010861069,0.10000999499949749,0.0,0.0,0.09983518655701765,0.0010861069
102.19955,1.9999999,0.0,0.1260812528885042,-0.1853706991997198,0.0014123001,0.30000998499951453,0.0,0.0,0.25419185662710875,0.0014123001
102.24954,1.9999999,0.0,0.18921611116589784,-0.2778477560896664,0.00173015462,0.3999899800005025,0.0,0.0,0.34874775891404647,0.00173015462
102.299545,1.9999999,0.0,0.25257090532030463,-0.37045763516534036,0.00241258327,0.499999975,0.0,0.0,0.4454885003845284,0.00241258327
102.34955,1.9999999,0.0,0.31609832101977076,-0.46301030948769434,0.00325608067,0.6000099699994975,0.0,0.0,0.5431246368176259,0.00325608067
102.39954,1.9999999,0.0,0.37953569078747784,-0.5551394810383585,0.00372331727,0.6999899650005139,0.0,0.0,0.6409920321415405,0.00372331727
102.44955,1.9999999,0.0,0.44312990560593357,-0.6472978389462754,0.00416621514,0.8000099599995145,0.0,0.0,0.739160243471254,0.00416621514
102.49954,1.9999999,0.0,0.5066963099820537,-0.7392287162330835,0.004612559570000001,0.8999899550005025,0.0,0.0,0.8373404242693113,0.004612559570000001
102.549545,1.9999999,0.0,0.5701238058920663,-0.8307316375601266,0.00464519196,0.99999995,0.0,0.0,0.9353654648940352,0.00464519196
102.59955,1.9999999,0.0,0.633628974610615,-0.9222531723371548,0.00424945428,1.1000099449994976,0.0,0.0,1.0334709107792157,0.00424945428
102.64954,1.9999999,0.0,0.6972900646322606,-1.0139488061721658,0.00455354082,1.1999899400005138,0.0,0.0,1.1317240592269908,0.00455354082
102.69955,1.9999999,0.0,0.7611479544499518,-1.105628938149006,0.00566665842,1.3000099349995144,0.0,0.0,1.2299543011650051,0.00566665842
102.74954,1.9999999,0.0,0.8253281320558734,-1.1973983563523303,0.0059931905199999995,1.3999899300005023,0.0,0.0,1.3281562429971165,0.0059931905199999995
102.799545,1.9999999,0.0,0.8895772743479329,-1.289121074565546,0.00679834159,1.4999999249999998,0.0,0.0,1.426341108332128,0.00679834159
102.84955,1.9999999,0.0,0.9536962990857576,-1.3805062766779708,0.00722215241,1.6000099199994973,0.0,0.0,1.5243093113032875,0.00722215241
102.89954,1.9999999,0.0,1.017689782627619,-1.4716431428200283,0.00709492771,1.6999899150005136,0.0,0.0,1.6221180630414296,0.00709492771
102.94955,1.9999999,0.0,1.0818804637396704,-1.56292045574778,0.00824160981,1.8000099099995142,0.0,0.0,1.720008794332261,0.00824160981
102.99954,1.9999999,0.0,1.1463971060108855,-1.6542496624863587,0.00967339611,1.899989905000502,0.0,0.0,1.8178129861251504,0.00967339611
103.049545,1.9999999,0.0,1.2110833008111381,-1.745420547665923,0.01075646521,1.9999998999999995,0.0,0.0,1.9154326635750287,0.01075646521
103.09955,1.9999999,0.0,1.2759478691517143,-1.8365122573224575,0.01119260194,2.100009894999497,0.0,0.0,2.0129221280864247,0.01119260194
103.14954,1.9999999,0.0,1.3409280898640237,-1.9276449429970977,0.0115475728,2.1999898900005137,0.0,0.0,2.1104033270244886,0.0115475728
103.19955,1.9999999,0.0,1.4061804867893128,-2.019052017275498,0.01243796683,2.3000098849995143,0.0,0.0,2.2080539036828495,0.01243796683
103.24954,1.9999999,0.0,1.4714424384486864,-2.1102166638468556,0.01343244173,2.3999898800005024,0.0,0.0,2.3054749444722615,0.01343244173
103.299545,1.9999999,0.0,1.536836473814851,-2.201218188293564,0.01425291783,2.499999875,0.0,0.0,2.402716223330784,0.01425291783
103.34955,1.9999999,0.0,1.6025958479995177,-2.292419790518242,0.015289743829999999,2.6000098699994973,0.0,0.0,2.5000046454440596,0.015289743829999999
103.44955,1.9999999,0.0,1.6681554970761447,-2.3829494309681847,0.015566746729999999,2.8000098599995145,0.0,0.0,2.6380944428545887,0.015566746729999999
103.49954,1.9999999,0.0,1.7338464403368152,-2.4735233418679217,0.01609621053,2.8999898550005025,0.0,0.0,2.734631270633929,0.01609621053
103.549545,1.9999999,0.0,1.7996996347245746,-2.5641214769491536,0.017353728229999997,2.99999985,0.0,0.0,2.831155162710469,0.017353728229999997
103.59955,1.9999999,0.0,1.865687693040396,-2.654541880390355,0.01809531183,3.1000098449994975,0.0,0.0,2.927480788931553,0.01809531183
103.64954,1.9999999,0.0,1.9317257381956994,-2.744777009489831,0.01827932495,3.199989840000514,0.0,0.0,3.0236227714036543,0.01827932495
103.69955,1.9999999,0.0,1.9979875321503489,-2.8351559549830934,0.018447804039999998,3.3000098349995146,0.0,0.0,3.119835150483554,0.018447804039999998
103.74954,1.9999999,0.0,2.064235468445038,-2.925320787433775,0.01947500184,3.3999898300005027,0.0,0.0,3.2158578052840907,0.01947500184
103.799545,1.9999999,0.0,2.130710865556244,-3.0154528566982157,0.02078773004,3.499999825,0.0,0.0,3.3117832334595803,0.02078773004
103.84955,1.9999999,0.0,2.1976968619798463,-3.1059398455296345,0.02163814047,3.6000098199994977,0.0,0.0,3.4078356703747428,0.02163814047
103.89954,1.9999999,0.0,2.2646791676232594,-3.196183171640048,0.02215763287,3.699989815000514,0.0,0.0,3.5036700074564027,0.02215763287
103.94955,1.9999999,0.0,2.3314902579500223,-3.2859734029957237,0.02281309287,3.8000098099995148,0.0,0.0,3.599190308937128,0.02281309287
103.99954,1.9999999,0.0,2.3982608532216108,-3.3755111196959247,0.02295328144,3.899989805000503,0.0,0.0,3.6944911914635505,0.02295328144
104.09955,1.9999999,0.0,2.4649330498396367,-3.4645795903482024,0.02437005194,4.100009794999498,0.0,0.0,3.8310295875155917,0.02437005194
104.14954,1.9999999,0.0,2.531870394681574,-3.5536175037154782,0.025286070440000002,4.199989790000514,0.0,0.0,3.925661686869139,0.025286070440000002
104.19955,1.9999999,0.0,2.598993144520159,-3.6426504056478834,0.025489049330000003,4.300009784999515,0.0,0.0,4.020243722581302,0.025489049330000003
