timestamp,cmd_v,cmd_omega,actual_delta_x_body,pred_delta_x_body,actual_delta_y_body,pred_delta_y_body,actual_delta_theta,pred_delta_theta,actual_v_next,pred_v_next,actual_omega_next,pred_omega_next,actual_x,actual_y,actual_theta,pred_x,pred_y,pred_theta,position_error,heading_error
102.09955,1.9999999,0.0,0.06288721,0.063048325,-0.09267666,-0.09270993,0.0010861069,0.0013967146,1.2577034,1.264148,0.015961,0.028385308,0.06288721,-0.09267666,0.0010861069,0.063048325,-0.09270993,0.0013967146,0.0001645142429244386,0.0003106077000000001
102.19955,1.9999999,0.0,0.06309333,0.06328887,-0.09276262,-0.09280782,0.0003261932,0.00038248935,1.2606121,1.2684339,0.002525164,0.0047770105,0.1260812528885042,-0.1853706991997198,0.0014123001,0.126466759262719,-0.18542926301471968,0.0017792039500000001,0.0003899293333253944,0.0003669038500000001
102.24954,1.9999999,0.0,0.06300419,0.063182205,-0.09256613,-0.09244133,0.00031785452,8.94459e-05,1.2595556,1.2666762,0.010189017,0.0010526702,0.18921611116589784,-0.2778477560896664,0.00173015462,0.1898133361517082,-0.2777580327307638,0.00186864985,0.0006039271187891293,0.00013849523000000015
102.299545,1.9999999,0.0,0.06319447,0.0631297,-0.092719354,-0.09229581,0.00068242865,0.00051984977,1.2682232,1.2656324,0.01710813,0.010604974,0.25257090532030463,-0.37045763516534036,0.00241258327,0.2531153943830871,-0.36993571435336275,0.00238849962,0.0007542344950114051,2.4083649999999835e-05
102.34955,1.9999999,0.0,0.06330394,0.063571475,-0.09270567,-0.09273877,0.0008434974,0.0009007167,1.2639346,1.2746361,0.016631767,0.018920537,0.31609832101977076,-0.46301030948769434,0.00325608067,0.3169081943540432,-0.4625223795198656,0.00328921632,0.0009455001169069021,3.3135650000000114e-05
102.39954,1.9999999,0.0,0.063137054,0.06334414,-0.09233524,-0.09232142,0.0004672366,0.000846473,1.2615477,1.269831,0.002057697,0.01722715,0.37953569078747784,-0.5551394810383585,0.00372331727,0.3805556562697943,-0.5546349479068073,0.00413568932,0.0011379293765212014,0.00041237205000000006
102.44955,1.9999999,0.0,0.06325064,0.06320027,-0.0923945,-0.09215542,0.00044289787,0.00021443256,1.2684779,1.2664634,0.015658218,0.0065196045,0.44312990560593357,-0.6472978389462754,0.00416621514,0.4441365108840053,-0.6465282038616154,0.00435012188,0.0012671197060189104,0.00018390673999999982
102.49954,1.9999999,0.0,0.06318285,0.063546084,-0.09219491,-0.09253734,0.00044634443,0.0008587677,1.2588363,1.2733655,0.0021955592,0.01869249,0.5066963099820537,-0.7392287162330835,0.004612559570000001,0.508084541063718,-0.7387882359564786,0.00520888958,0.0014564368884976773,0.000596330009999999
102.549545,1.9999999,0.0,0.06300476,0.063057646,-0.09179451,-0.09174897,3.263239e-05,0.0002078576,1.2613542,1.2634695,-0.0008902636,0.0061187446,0.5701238058920663,-0.8307316375601266,0.00464519196,0.5716192397015548,-0.8302075024385581,0.00541674718,0.0015846261086523757,0.0007715552199999993
102.59955,1.9999999,0.0,0.06307935,0.06316024,-0.09181554,-0.091706105,-0.00039573768,-0.00012692009,1.2618197,1.2650554,-0.014939243,-0.004186541,0.633628974610615,-0.9222531723371548,0.00424945428,0.6352752994632365,-0.9215701406816925,0.00528982709,0.0017823910240804938,0.0010403728099999997
102.64954,1.9999999,0.0,0.06327086,0.06313002,-0.09196533,-0.09182116,0.00030408654,-0.0005766444,1.2690146,1.2633812,0.027102705,-0.008126531,0.6972900646322606,-1.0139488061721658,0.00455354082,0.6988901519990008,-1.013056070669855,0.00471318269,0.0018322817082227398,0.00015964186999999942
102.69955,1.9999999,0.0,0.06343976,0.063496746,-0.09196996,-0.092064284,0.0011131176,0.0014275879,1.2685758,1.2708553,0.017422,0.03000081,0.7611479544499518,-1.105628938149006,0.00566665842,0.7628201069222676,-1.104820061453442,0.00614077059,0.0018575186134461175,0.0004741121699999998
102.74954,1.9999999,0.0,0.063659124,0.06350241,-0.09213163,-0.09187134,0.0003265321,0.00070028304,1.2777891,1.2715205,-0.0043607145,0.01058932,0.8253281320558734,-1.1973983563523303,0.0059931905199999995,0.8268854768949063,-1.1962997179868626,0.00684105363,0.0019058670482853376,0.0008478631100000003
102.799545,1.9999999,0.0,0.06369828,0.063999295,-0.092106126,-0.092318445,0.00080515107,-0.00021532048,1.2701421,1.2821826,0.036566757,-0.004252106,0.8895772743479329,-1.289121074565546,0.00679834159,0.8915148248239321,-1.2881781835486252,0.00662573315,0.002154795887511027,0.00017260843999999942
102.84955,1.9999999,0.0,0.06349628,0.06374121,-0.09181899,-0.09162909,0.00042381082,0.0016741259,1.269709,1.2795061,-0.019614324,0.03039828,0.9536962990857576,-1.3805062766779708,0.00722215241,0.9558617411557342,-1.3793829331238543,0.00829985905,0.0024394753737227116,0.0010777066400000004
102.89954,1.9999999,0.0,0.063333616,0.06362447,-0.091596656,-0.09175423,-0.0001272247,-0.00068746845,1.2636355,1.27527,0.014525335,-0.007884409,1.017689782627619,-1.4716431428200283,0.00709492771,1.0202455581306156,-1.4706059347046987,0.0076123906,0.002758222089720648,0.0005174628900000006
102.94955,1.9999999,0.0,0.063541465,0.063378334,-0.09173044,-0.09127843,0.0011466821,0.0012339031,1.2780231,1.271498,0.031341948,0.03483079,1.0818804637396704,-1.56292045574778,0.00824160981,1.0843168961517302,-1.561399264019492,0.0088462937,0.002872320868696169,0.0006046838900000007
102.99954,1.9999999,0.0,0.06376176,0.06411073,-0.09185782,-0.09204983,0.0014317863,0.0015696874,1.2724472,1.2864062,0.025929509,0.031445548,1.1463971060108855,-1.6542496624863587,0.00967339611,1.1492394068246958,-1.6528783573254517,0.0104159811,0.0031558123772678502,0.0007425849900000014
103.049545,1.9999999,0.0,0.06380125,0.06384473,-0.091792345,-0.0915527,0.0010830691,0.001057197,1.2796028,1.281342,0.017393256,0.016358372,1.2110833008111381,-1.745420547665923,0.01075646521,1.2140342674632876,-1.7437610974958955,0.0114731781,0.0033855544669821195,0.0007167128900000003
103.09955,1.9999999,0.0,0.06388101,0.06421118,-0.09178414,-0.09190505,0.00043613673,0.0008019999,1.2756377,1.2888445,5.221398e-05,0.014686737,1.2759478691517143,-1.8365122573224575,0.01119260194,1.2792956412020278,-1.8349234085143606,0.012275178,0.003705673789724435,0.0010825760599999998
103.14954,1.9999999,0.0,0.06395616,0.064024344,-0.09185426,-0.09154954,0.00035497086,0.00028156527,1.2826086,1.2853361,0.01414662,0.011210401,1.3409280898640237,-1.9276449429970977,0.0115475728,1.3444389203461775,-1.925680160776599,0.01255674327,0.0040232200845104465,0.001009170470000001
103.19955,1.9999999,0.0,0.06419254,0.064413905,-0.09215447,-0.092034094,0.00089039403,0.0009699633,1.2850932,1.2939478,0.021469142,0.024651911,1.4061804867893128,-2.019052017275498,0.01243796683,1.4100033654064985,-2.0168981916678765,0.01352670657,0.004387865730600955,0.0010887397400000005
103.24954,1.9999999,0.0,0.06412303,0.064527705,-0.0919693,-0.09209862,0.0009944749,0.001083985,1.279828,1.2960149,0.018309856,0.021890257,1.4714424384486864,-2.1102166638468556,0.01343244173,1.4757709201394669,-2.108115565357966,0.01461069157,0.004811482994611548,0.0011782498400000011
103.299545,1.9999999,0.0,0.0641658,0.06422474,-0.09187169,-0.09158652,0.0008204761,0.00094678515,1.286804,1.289162,0.014509188,0.019561548,1.536836473814851,-2.201218188293564,0.01425291783,1.5413268999464766,-2.198753975457222,0.015557476720000001,0.005122135467398318,0.0013045588900000016
103.34955,1.9999999,0.0,0.06445285,0.064590335,-0.09212957,-0.09187928,0.001036826,0.0009922832,1.29131,1.2968096,0.026963852,0.02518214,1.6025958479995177,-2.292419790518242,0.015289743829999999,1.607338770639752,-2.289617314578701,0.01654975992,0.005509009580945851,0.0012600160900000015
103.44955,1.9999999,0.0,0.064167865,0.064286396,-0.09152141,-0.09130892,0.0002770029,0.00082925597,1.2855885,1.2903297,-0.008132385,0.013957735,1.6681554970761447,-2.3829494309681847,0.015566746729999999,1.6731274347171303,-2.3798498545027718,0.017379015890000002,0.005858970743295355,0.0018122691600000029
103.49954,1.9999999,0.0,0.0642731,0.06447404,-0.09158549,-0.09156068,0.0005294638,-0.00017262735,1.2853354,1.2933728,0.029310938,0.0012272932,1.7338464403368152,-2.4735233418679217,0.01609621053,1.739182892822491,-2.470276268843245,0.017206388540000003,0.0062466957953351354,0.0011101780100000042
103.549545,1.9999999,0.0,0.06438644,0.06453315,-0.09164634,-0.091476105,0.0012575177,0.001690959,1.2901224,1.2959906,0.02098977,0.038327426,1.7996996347245746,-2.5641214769491536,0.017353728229999997,1.805280385963081,-2.560628505314863,0.01889734754,0.006583740215413157,0.0015436193100000044
103.59955,1.9999999,0.0,0.06440907,0.0647774,-0.09155187,-0.091699466,0.0007415836,0.0012240313,1.2862403,1.3009737,0.008673575,0.02797148,1.865687693040396,-2.654541880390355,0.01809531183,1.8717789935291318,-2.651087550231453,0.020121378840000002,0.007002595125435471,0.0020260670100000037
