timestamp,delta_x_pose_original,delta_theta_pose_original,delta_x_velocity_integrated,delta_y_velocity_integrated,delta_theta_velocity_integrated,selected_delta_x_body,selected_delta_y_body,selected_delta_theta,selected_v_next,selected_omega_next,selected_mode
6.349544853,,,,,,,,,,,velocity_integrated
6.399544853,,,,,,,,,,,velocity_integrated
6.449544853,,,,,,,,,,,velocity_integrated
6.499544853000001,,,,,,,,,0.066602785762368,0.0114009387489115,velocity_integrated
6.549544853,0.0080001970465588,0.0006953911787263,0.007609747776262745,0.0010455702191701664,0.0009230817092724168,0.007609747776262745,0.0010455702191701664,0.0009230817092724168,0.2377871252881429,0.0255223296219853,velocity_integrated
6.599544853,0.0104518439956586,0.0005596485581831,0.01724939605225917,0.0023789487120646816,0.0010952941151713136,0.01724939605225917,0.0023789487120646816,0.0010952941151713136,0.4521887168022263,0.0182894349848674,velocity_integrated
6.649544853,0.031978118683518,0.0005876390643084,0.029213282182452772,0.004042761948964728,-2.6573470518557402e-05,0.029213282182452772,0.004042761948964728,-2.6573470518557402e-05,0.7163425704958888,-0.0193523738056097,velocity_integrated
6.699544853,0.0592334589380164,0.0012914741191978,0.041752585602132776,0.00582262387655659,0.00042042263115450344,0.041752585602132776,0.00582262387655659,0.00042042263115450344,0.9537608535893984,0.0361692790517896,velocity_integrated
6.749544853000001,0.0678468648822647,0.0043018329280244,0.05338833979004238,0.007607860004936653,0.0036472049873794276,0.05338833979004238,0.007607860004936653,0.0036472049873794276,1.1817727380123044,0.109718920443388,velocity_integrated
6.799544853,0.0674792894363992,0.0048797837695211,0.062955008632814,0.009253886628379948,0.0044113217187920365,0.062955008632814,0.009253886628379948,0.0044113217187920365,1.3364276073002648,0.0667339483082941,velocity_integrated
6.849544853,0.0472530166436164,0.0021180097030004,0.06921957285427861,0.010410548373108413,0.003086485170726714,0.06921957285427861,0.010410548373108413,0.003086485170726714,1.4323553068708894,0.0567254585207749,velocity_integrated
6.899544853,0.0877784471768701,0.0041169147523173,0.07422239999056376,0.011404219367709379,0.0033101171190820216,0.07422239999056376,0.011404219367709379,0.0033101171190820216,1.536540692751619,0.0756792262425041,velocity_integrated
6.949544853000001,0.0852218891183826,0.0043145998361081,0.07943436833263054,0.012548598170959591,0.003975041379008166,0.07943436833263054,0.012548598170959591,0.003975041379008166,1.6408340405536137,0.0833224289178231,velocity_integrated
6.999544853000001,0.0861533932321756,0.0036056278878698,0.08406267854122984,0.013615948410371117,0.0036110759346063724,0.08406267854122984,0.013615948410371117,0.0036110759346063724,1.721673101095592,0.0611206084664323,velocity_integrated
7.049544853,0.0679963726854725,0.0022186670299277,0.08773484798518219,0.014470705342774035,0.0028976623426003123,0.08773484798518219,0.014470705342774035,0.0028976623426003123,1.7877208183117084,0.0547858852375806,velocity_integrated
7.099544853,0.0908465944494253,0.0014255508127934,0.09141573333430678,0.015248411641120504,0.001938930279454463,0.09141573333430678,0.015248411641120504,0.001938930279454463,1.868908515060576,0.0227713259405982,velocity_integrated
7.149544853,0.1124744668457349,-7.934249142688143e-05,0.09541896214975217,0.015978694869110754,-0.00013206356562787695,0.09541896214975217,0.015978694869110754,-0.00013206356562787695,1.9478499709294563,-0.0280538685657132,velocity_integrated
7.199544853000001,0.0978168873789744,-0.0009112952355114,0.09869639227571768,0.016475953145663427,-0.0012763080188337905,0.09869639227571768,0.016475953145663427,-0.0012763080188337905,2.0000057200992645,-0.0229984521876386,velocity_integrated
7.249544853000001,0.0662099737932682,-0.0002741607513214,0.10027455094750456,0.016679332574428805,-0.0008610343731466721,0.10027455094750456,0.016679332574428805,-0.0008610343731466721,2.010976317800933,-0.0114429227382284,velocity_integrated
7.299544853,0.0806699579702122,0.0003635324901787,0.10097351114869513,0.016800487565274233,-0.00018651827315566182,0.10097351114869513,0.016800487565274233,-0.00018651827315566182,2.0279641281468863,0.0039821918120019,velocity_integrated
7.349544853,0.105234511879657,0.0006459587459264,0.10179010064225817,0.016989250426891155,0.00040156843457903605,0.10179010064225817,0.016989250426891155,0.00040156843457903605,2.043639897543455,0.0120805455711596,velocity_integrated
7.399544853,0.0827821538787241,0.0002025149831482,0.10246497632988875,0.017146327058400468,0.00016266916647905482,0.10246497632988875,0.017146327058400468,0.00016266916647905482,2.054959155652037,-0.0055737789119975,velocity_integrated
7.449544853000001,0.0776135268124781,4.3517743385235175e-05,0.10340500588234453,0.017316717154494746,0.00018398089828510435,0.10340500588234453,0.017316717154494746,0.00018398089828510435,2.0812410796417584,0.0129330148434017,velocity_integrated
7.499544853000001,0.1227724589501586,0.0009744275608419,0.10432637307310698,0.017525734746374616,0.000824971298283627,0.10432637307310698,0.017525734746374616,0.000824971298283627,2.0918138432825355,0.0200658370879435,velocity_integrated
7.549544853,0.2057859712992434,0.0010205161600661,0.1048828494478415,0.017726797703275447,0.00010479880403082961,0.1048828494478415,0.017726797703275447,0.00010479880403082961,2.1035001346311395,-0.0158738849267103,velocity_integrated
7.599544853,0.0826396992498063,0.0002109014391667,0.10569147469463938,0.017930305536969234,-0.0007959799850568972,0.10569147469463938,0.017930305536969234,-0.0007959799850568972,2.12415885315445,-0.0159653144755657,velocity_integrated
7.649544853,0.1449324618831608,0.0015707574609185,0.10648376693909022,0.018162527165280974,0.00014850117047956966,0.10648376693909022,0.018162527165280974,0.00014850117047956966,2.135191824409098,0.0219053612947484,velocity_integrated
7.699544853000001,0.0241923537873205,0.0004782951485121,0.10672316541757666,0.018315669109083794,0.0017827936004909386,0.10672316541757666,0.018315669109083794,0.0017827936004909386,2.1337347922939838,0.0494063827248894,velocity_integrated
7.749544853000001,0.0409982193453715,0.0002355143553139,0.10707404598628267,0.01841526137322057,0.001687217613182584,0.10707404598628267,0.01841526137322057,0.001687217613182584,2.1492270471573383,0.0180823218024142,velocity_integrated
7.799544853,0.1513686457385556,-0.0002453918906584,0.10769225050274549,0.018520991672663748,0.000970983968196284,0.10769225050274549,0.018520991672663748,0.000970983968196284,2.158462972952497,0.0207570369254373,velocity_integrated
7.849544853,0.0902706832155006,0.000762554994394,0.10830056438314736,0.01865460309993342,0.001090838140008286,0.10830056438314736,0.01865460309993342,0.001090838140008286,2.1735596023734125,0.0228764886748943,velocity_integrated
7.899544853,0.2413614946470659,0.0020157175176137,0.1090211595652851,0.018934913810149438,0.0009416211285230083,0.1090211595652851,0.018934913810149438,0.0009416211285230083,2.18728678023793,0.0147883564660255,velocity_integrated
7.949544853000001,0.0640381059525842,0.0002248776181268,0.10921384024920645,0.01909404970827364,0.0009688262569729141,0.10921384024920645,0.01909404970827364,0.0009688262569729141,2.1812668297303435,0.0239646938128912,velocity_integrated
7.999544853000001,0.2197965684034961,0.0015674230593556,0.10940148836380567,0.019228191753632395,0.0009401486910564742,0.10940148836380567,0.019228191753632395,0.0009401486910564742,2.194792704821899,0.0136412538293679,velocity_integrated
8.049544853,0.1191842067366439,0.0006354849670665,0.11002112428250894,0.019461858621040055,0.0008293008489007942,0.11002112428250894,0.019461858621040055,0.0008293008489007942,2.2060522664783964,0.0195307801266634,velocity_integrated
8.099544853000001,0.0617537451700599,0.0006606064111402,0.11057677187532562,0.019634020302153773,0.0013467717683453262,0.11057677187532562,0.019634020302153773,0.0013467717683453262,2.217018608534722,0.0343400906071508,velocity_integrated
8.149544853,0.0284148360660729,0.0005026283571286,0.11084568576232996,0.019748183996414183,0.0018621084828190138,0.11084568576232996,0.019748183996414183,0.0018621084828190138,2.2168088219584137,0.0401442487056087,velocity_integrated
