mode,step,pred_x,pred_y,pred_theta,actual_x,actual_y,actual_theta,position_error,heading_error,rollout_length
teacher_forced,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
teacher_forced,1,0.06304832547903061,-0.09270992875099182,0.0013967143604531884,0.06288720667362213,-0.09267666190862656,0.0010861068731173873,0.00016451733117580746,0.0003106074873358011,20
teacher_forced,2,0.12646675719583864,-0.18542926371388477,0.0017792037106119096,0.12608124654466527,-0.18537070037029257,0.001412300072843209,0.0003899334909709779,0.0003669036377687007,20
teacher_forced,3,0.18981333402071232,-0.27775803131505683,0.0018686497933231294,0.1892161030627187,-0.2778477598099086,0.0017301545885857195,0.0006039337877403109,0.00013849520473740995,20
teacher_forced,4,0.25311539296826013,-0.3699357135201501,0.0023884993279352784,0.25257089583119985,-0.37045763862541226,0.0024125832424033433,0.0007542432948126022,2.4083914468064904e-05,20
teacher_forced,5,0.31690819335827475,-0.4625223786527014,0.0032892158487811685,0.31609831151906953,-0.4630103099684229,0.0032560806430410594,0.0009455080974460989,3.3135205740109086e-05,20
teacher_forced,6,0.3805556585558177,-0.5546349452844532,0.004135688825044781,0.3795356817245657,-0.5551394805721312,0.0037233172333799303,0.0011379405049488278,0.0004123715916648507,20
teacher_forced,7,0.4441365157413114,-0.6465282005499684,0.004350121191237122,0.44312989508783085,-0.6472978394586297,0.0041662151052150875,0.0012671342429825794,0.0001839060860220343,20
teacher_forced,8,0.5080845457402643,-0.7387882361914644,0.005208888731431216,0.5066963026120457,-0.7392287141017266,0.004612559539964423,0.0014564476552472458,0.0005963291914667934,20
teacher_forced,9,0.5716192444442483,-0.8302075004934403,0.0054167463385965675,0.5701238004681729,-0.8307316385876699,0.004645191929739667,0.0015846366862479018,0.0007715544088569004,20
teacher_forced,10,0.6352753047769311,-0.9215701383632072,0.005289826061925851,0.6336289688745731,-0.9222531720724381,0.004249454254022567,0.0017824020173177696,0.0010403718079032842,20
teacher_forced,11,0.6988901582950815,-1.0130560648531917,0.004713181449915282,0.697290058325306,-1.013948808538839,0.004553540795313893,0.001832296701284722,0.00015964065460138954,20
teacher_forced,12,0.7628201132263905,-1.104820055503685,0.006140769386547618,0.7611479447700602,-1.1056289399704455,0.005666658351401566,0.0018575363864303774,0.000474111035146052,20
teacher_forced,13,0.8268854816748741,-1.196299715676022,0.0068410526582738385,0.8253281224437071,-1.1973983577639662,0.005993190465233056,0.0019058809543891506,0.0008478621930407826,20
teacher_forced,14,0.891514829752332,-1.2881781817430777,0.006625731999520212,0.889577261609694,-1.2891210762482468,0.006798341531975893,0.0021548132993936386,0.0001726095324556809,20
teacher_forced,15,0.9558617430883223,-1.3793829293364028,0.008299858251120895,0.9536962830671517,-1.3805062767098302,0.007222152355097933,0.0024394930671502568,0.0010777058960229624,20
teacher_forced,16,1.0202455613986654,-1.470605928833583,0.007612389978021383,1.0176897662614188,-1.4716431424054823,0.007094927652360639,0.0027582423347677775,0.0005174623256607447,20
teacher_forced,17,1.084316899380926,-1.5613992545371507,0.008846293087117374,1.0818804468628378,-1.5629204535132908,0.008241609724791488,0.0028723417620311383,0.0006046833623258863,20
teacher_forced,18,1.1492394135633632,-1.6528783475131905,0.010415980475954711,1.1463970924070046,-1.6542496609796362,0.00967339606359019,0.0031558343079349364,0.000742584412364522,20
teacher_forced,19,1.214034277055302,-1.7437610848156977,0.011473177233710885,1.2110832885552507,-1.745420546196121,0.010756465195299825,0.003385579005214884,0.0007167120384110603,20
teacher_forced,20,1.2792956530109614,-1.8349233958440412,0.01227517711231485,1.2759478567326803,-1.8365122578132227,0.011192601927177748,0.003705701320665764,0.0010825751851371024,20
limited_closed_loop,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
limited_closed_loop,1,0.06304832547903061,-0.09270992875099182,0.0013967143604531884,0.06288720667362213,-0.09267666190862656,0.0010861068731173873,0.00016451733117580746,0.0003106074873358011,20
limited_closed_loop,2,0.12654628133720625,-0.18542147108521423,0.0025750903878360987,0.12608124654466527,-0.18537070037029257,0.001412300072843209,0.00046779805874681504,0.0011627903149928898,20
limited_closed_loop,3,0.19050733565398126,-0.2777127345537287,0.003342921903822571,0.1892161030627187,-0.2778477598099086,0.0017301545885857195,0.00129827324725772,0.0016127673152368516,20
limited_closed_loop,4,0.25490931360324415,-0.3697983960967758,0.00389148952672258,0.25257089583119985,-0.37045763862541226,0.0024125832424033433,0.002429567531100058,0.0014789062843192369,20
limited_closed_loop,5,0.31969816672738655,-0.46228797702832797,0.004470905929338187,0.31609831151906953,-0.4630103099684229,0.0032560806430410594,0.003671610327525695,0.0012148252862971276,20
limited_closed_loop,6,0.38483818093020594,-0.5543206830427732,0.0051948600448668,0.3795356817245657,-0.5551394805721312,0.0037233172333799303,0.005365345023379049,0.00147154281148687,20
limited_closed_loop,7,0.450320239061568,-0.6461334771008742,0.006013263307977468,0.44312989508783085,-0.6472978394586297,0.0041662151052150875,0.007284008934701818,0.0018470482027623802,20
limited_closed_loop,8,0.5161480696169578,-0.7382692800658253,0.006883273192215711,0.5066963026120457,-0.7392287141017266,0.004612559539964423,0.009500337530024475,0.0022707136522512883,20
limited_closed_loop,9,0.5823210173046554,-0.8295560613117807,0.0077493611024692655,0.5701238004681729,-0.8307316385876699,0.004645191929739667,0.012253737408960495,0.0031041691727295984,20
limited_closed_loop,10,0.6488454358627477,-0.9207396194864457,0.008381651481613517,0.6336289688745731,-0.9222531720724381,0.004249454254022567,0.015291556789050979,0.00413219722759095,20
limited_closed_loop,11,0.7156580342445865,-1.0119791322984444,0.00874623074196279,0.697290058325306,-1.013948808538839,0.004553540795313893,0.018473282433375083,0.004192689946648898,20
