step,actual_x,actual_y,actual_theta,cmd_x,cmd_y,cmd_theta,model_x,model_y,model_theta,cmd_position_error,model_position_error,cmd_heading_error,model_heading_error
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.06288720667362213,-0.09267666190862656,0.0010861068731173873,0.09999999403953552,0.0,0.0,0.06304832547903061,-0.09270992875099182,0.001396714593283832,0.09983147123324074,0.00016451733117580746,0.0010861068731173873,0.0003106077201664448
2,0.12608124654466527,-0.18537070037029257,0.001412300072843209,0.19999998807907104,0.0,0.0,0.12646675721742656,-0.185429263699119,0.0017792039434425533,0.19956521967969038,0.00038993351009639993,0.001412300072843209,0.00036690387059934437
3,0.1892161030627187,-0.2778477598099086,0.0017301545885857195,0.29999998211860657,0.0,0.0,0.18981333406379725,-0.277758031285542,0.0018686498442548327,0.29911945020351693,0.0006039338347321721,0.0017301545885857195,0.00013849525566911325
4,0.25257089583119985,-0.37045763862541226,0.0024125832424033433,0.3999999761581421,0.0,0.0,0.2531153930160398,-0.36993571348741117,0.0023884996116976254,0.3987156828392439,0.0007542433519601554,0.0024125832424033433,2.408363070571795e-05
5,0.31609831151906953,-0.4630103099684229,0.0032560806430410594,0.4999999701976776,0.0,0.0,0.31690819343232707,-0.46252237860186046,0.003289216307166498,0.4981951095723425,0.0009455081871127207,0.0032560806430410594,3.313566412543878e-05
6,0.3795356817245657,-0.5551394805721312,0.0037233172333799303,0.5999999642372131,0.0,0.0,0.38055565867209307,-0.5546349452044372,0.004135689283430111,0.5973142746944126,0.0011379406446477697,0.0037233172333799303,0.0004123720500501804
7,0.44312989508783085,-0.6472978394586297,0.0041662151052150875,0.6999999582767487,0.0,0.0,0.44413651589970926,-0.6465282004408079,0.0043501218387973495,0.6964027012659332,0.001267134435117458,0.0041662151052150875,0.00018390673358226195
8,0.5066963026120457,-0.7392287141017266,0.004612559539964423,0.7999999523162842,0.0,0.0,0.5080845459584061,-0.7387882360408937,0.005208889553614426,0.7952899613866121,0.0014564479087111873,0.004612559539964423,0.0005963300136500038
9,0.5701238004681729,-0.8307316385876699,0.004645191929739667,0.8999999463558197,0.0,0.0,0.5716192447375534,-0.8302075002906325,0.005416747160779778,0.8938307037556066,0.0015846370301252832,0.004645191929739667,0.0007715552310401108
10,0.6336289688745731,-0.9222531720724381,0.004249454254022567,0.9999999403953552,0.0,0.0,0.635275305145353,-0.9215701381080624,0.005289827073283959,0.9923601171806311,0.001782402455388862,0.004249454254022567,0.0010403728192613926
11,0.697290058325306,-1.013948808538839,0.004553540795313893,1.0999999344348907,0.0,0.0,0.6988901587560284,-1.0130560645337097,0.0047131826941040345,1.0909937812167072,0.0018322972594785626,0.004553540795313893,0.00015964189879014157
12,0.7611479447700602,-1.1056289399704455,0.005666658351401566,1.1999999284744263,0.0,0.0,0.7628201138015094,-1.1048200551046619,0.00614077063073637,1.189540422390693,0.0018575370779156893,0.005666658351401566,0.00047411227933480404
