pair,count,correlation,rmse,mae,bias,std_error,slope,intercept,family
pose_delta_theta_vs_odom_omega_dt,2223,0.8446307340843727,0.0021088200456866467,0.0013767693076244662,-1.6615603223633245e-05,0.002108754586674169,0.7484694157931778,0.0006976134647092587,delta_theta
pose_delta_theta_vs_imu_gyro_dt,2154,0.8518731974520809,0.002076717296053737,0.0013000694475238923,-2.387001546959173e-05,0.0020765801092397637,0.7410653656464038,0.0007195657071515312,delta_theta
