pair,count,correlation,rmse,mae,bias,std_error,slope,intercept,family
pose_delta_x_vs_odom_vx_dt,2223,-0.009705723218301059,0.16123316341019844,0.134532943108939,-0.12618199607477193,0.10037049790573922,-0.014760062051364061,-0.009163950264679768,delta_x
pose_delta_x_vs_vn_body_vx_dt,2208,0.08299235665493367,0.054859297482172956,0.04207077328349587,-0.0013218818879499204,0.05484336923012533,0.013756543156982222,0.11251079899265429,delta_x
