target,rmse,mae
delta_x_body,0.00032164514414034784,0.0002515300875529647
delta_y_body,0.0002477959787938744,0.00019719457486644387
delta_theta,0.0005543577717617154,0.0004269798519089818
v_next,0.01286581251770258,0.010061210952699184
omega_next,0.022174309939146042,0.017079193145036697
