delta_x_body,delta_y_body,delta_theta,delta_x_body_check,delta_y_body_check,delta_theta_check,diff_delta_x_body,diff_delta_y_body,diff_delta_theta
0.0080001970465588,5.235708732144939e-06,0.0006953911787263,0.008000197046565878,5.235708731183035e-06,0.0006953911787262734,7.077671781985373e-15,-9.619041674291395e-16,-2.656295322589486e-17
0.0104518439956586,1.0404139850647004e-05,0.0005596485581831,0.010451843995651583,1.0404139851614763e-05,0.0005596485581832178,-7.016956460326185e-15,9.677588591605613e-16,1.1774435593192578e-16
0.031978118683518,1.834741700863004e-05,0.0005876390643084,0.031978118683518054,1.8347417008630906e-05,0.0005876390643083929,5.551115123125783e-17,8.673617379884035e-19,-7.15573433840433e-18
0.0592334589380164,6.278317037786835e-06,0.0012914741191978,0.05923345893801646,6.278317037792039e-06,0.0012914741191979162,5.551115123125783e-17,5.204170427930421e-18,1.1622647289044608e-16
0.0678468648822647,6.986036376386423e-05,0.0043018329280244,0.06784686488226474,6.986036376386423e-05,0.004301832928024496,4.163336342344337e-17,0.0,9.627715291671279e-17
0.0674792894363992,0.0001957885013623,0.0048797837695211,0.06747928943639954,0.00019578850136410877,0.004879783769521195,3.3306690738754696e-16,1.808774484357567e-15,9.540979117872439e-17
0.0472530166436164,5.85820129818896e-05,0.0021180097030004,0.047253016643616204,5.858201298013319e-05,0.002118009703000495,-1.942890293094024e-16,-1.7564075194265172e-15,9.497611030973019e-17
0.0877784471768701,0.0002408299111652,0.0041169147523173,0.08777844717687038,0.00024082991116703735,0.004116914752317291,2.7755575615628914e-16,1.83734321160256e-15,-8.673617379884035e-18
0.0852218891183826,0.0001628047698509,0.0043145998361081,0.08522188911838235,0.00016280476984916262,0.004314599836108102,-2.498001805406602e-16,-1.7373797712993966e-15,1.734723475976807e-18
0.0861533932321756,0.0001847396030405,0.0036056278878698,0.08615339323217569,0.0001847396030405686,0.0036056278878699166,8.326672684688674e-17,6.860289246402029e-17,1.1666015375944028e-16
0.0679963726854725,9.61029612895556e-05,0.0022186670299277,0.0679963726854725,9.610296128955559e-05,0.002218667029927679,0.0,-1.3552527156068805e-20,-2.1250362580715887e-17
0.0908465944494253,0.0001193714936194,0.0014255508127934,0.09084659444942537,0.00011937149361948216,0.0014255508127934136,6.938893903907228e-17,8.21554196200891e-17,1.3660947373317356e-17
0.1124744668457349,3.807064587663112e-05,-7.934249142688143e-05,0.11247446684573496,3.8070645876638054e-05,-7.934249142679817e-05,6.938893903907228e-17,6.932117640329194e-18,8.326672684688674e-17
0.0978168873789744,-4.380613911381462e-05,-0.0009112952355114,0.09781688737897447,-4.380613911381462e-05,-0.0009112952355115056,6.938893903907228e-17,0.0,-1.0560129160008813e-16
0.0662099737932682,-2.1965554111555777e-05,-0.0002741607513214,0.06620997379326828,-2.1965554111552307e-05,-0.00027416075132150053,6.938893903907228e-17,3.469446951953614e-18,-1.0050554138940626e-16
0.0806699579702122,2.1351083257025588e-05,0.0003635324901787,0.08066995797021226,2.1351083257032527e-05,0.00036353249017881395,5.551115123125783e-17,6.938893903907228e-18,1.1394964832822652e-16
0.105234511879657,3.524193602790979e-05,0.0006459587459264,0.10523451187965709,3.5241936027913257e-05,0.0006459587459264893,8.326672684688674e-17,3.469446951953614e-18,8.922983879555701e-17
0.0827821538787241,1.1263367183064407e-05,0.0002025149831482,0.0827821538787239,1.1263367181312336e-05,0.00020251498314818872,-2.0816681711721685e-16,-1.7520707107365752e-15,-1.1275702593849246e-17
0.0776135268124781,-1.1173808509446631e-06,4.3517743385235175e-05,0.0776135268124784,-1.1173808491856535e-06,4.351774338531844e-05,3.0531133177191805e-16,1.7590096046404824e-15,8.326672684688674e-17
0.1227724589501586,7.734637946445883e-05,0.0009744275608419,0.1227724589501586,7.734637946445883e-05,0.0009744275608419839,0.0,0.0,8.391724815037804e-17
0.2057859712992434,0.0001480569135823,0.0010205161600661,0.20578597129924373,0.00014805691358407702,0.0010205161600660984,3.3306690738754696e-16,1.777034465758054e-15,-1.734723475976807e-18
0.0826396992498063,1.2025186311262134e-05,0.0002109014391667,0.08263969924980609,1.2025186309515268e-05,0.0002109014391667996,-2.0816681711721685e-16,-1.7468665403086447e-15,9.961107459710572e-17
0.1449324618831608,0.0001124070532119,0.0015707574609185,0.1449324618831611,0.00011240705321367145,0.0015707574609185038,3.0531133177191805e-16,1.7714508245697536e-15,3.686287386450715e-18
0.0241923537873205,1.4033476400596157e-06,0.0004782951485121,0.024192353787319994,1.403347636559811e-06,0.00047829514851210897,-5.065392549852277e-16,-3.4998046127832083e-15,8.944667923005412e-18
0.0409982193453715,1.017933984388212e-05,0.0002355143553139,0.040998219345371824,1.0179339845635058e-05,0.00023551435531399267,3.2612801348363973e-16,1.7529380724745636e-15,9.267218069319849e-17
0.1513686457385556,-3.531882890766072e-05,-0.0002453918906584,0.15136864573855566,-3.531882890766072e-05,-0.00024539189065850286,5.551115123125783e-17,0.0,-1.0289078616887437e-16
0.0902706832155006,3.501306911732685e-05,0.000762554994394,0.09027068321550066,3.5013069117328585e-05,0.0007625549943941212,6.938893903907228e-17,1.734723475976807e-18,1.212138028838794e-16
0.2413614946470659,0.0003389021337069,0.0020157175176137,0.24136149464706594,0.0003389021337069781,0.0020157175176136743,2.7755575615628914e-17,7.806255641895632e-17,-2.5587171270657905e-17
0.0640381059525842,1.2985496577327948e-08,0.0002248776181268,0.06403810595259098,1.2985493610950805e-08,0.00022487761812692297,6.772360450213455e-15,-2.96637714392034e-15,1.2297563141416834e-16
0.2197965684034961,0.0001896187370201,0.0015674230593556,0.21979656840348952,0.0001896187370231464,0.0015674230593556993,-6.5780714209040525e-15,3.0464183693040825e-15,9.93129189996722e-17
0.1191842067366439,5.693957863263377e-05,0.0006354849670665,0.11918420673664397,5.693957863263377e-05,0.0006354849670665852,6.938893903907228e-17,0.0,8.521829075736065e-17
0.0617537451700599,2.6383124332587243e-05,0.0006606064111402,0.06175374517005994,2.6383124332588978e-05,0.0006606064111402965,3.469446951953614e-17,1.734723475976807e-18,9.64939933512099e-17
0.0284148360660729,7.98448455354827e-06,0.0005026283571286,0.02841483606607298,7.984484553549137e-06,0.0005026283571287204,7.979727989493313e-17,8.673617379884035e-19,1.2045486136313954e-16
0.0928875243082153,3.0160540770925864e-05,0.0003356803528231,0.09288752430822238,3.0160540769676863e-05,0.0003356803528231922,7.077671781985373e-15,-1.2490009027033011e-15,9.221139476989215e-17
0.1620504691380387,0.0001252176121086,0.0016980141516609,0.16205046913803173,0.0001252176121098736,0.001698014151660987,-6.966649479522857e-15,1.27358518696441e-15,8.695301423333746e-17
0.1408614627958251,7.576516584925988e-05,0.0009845039910938,0.14086146279582476,7.576516584751128e-05,0.000984503991093899,-3.3306690738754696e-16,-1.7486012637846216e-15,9.90960785651751e-17
0.0773860020907523,7.671312694551569e-06,0.0002272741830013,0.07738600209075266,7.67131269630017e-06,0.00022727418300130808,3.608224830031759e-16,1.7486012637846216e-15,8.077306185017008e-18
0.0928224119790208,2.7407992717626974e-05,0.0009463513198688,0.09282241197902086,2.7407992717630447e-05,0.00094635131986881,5.551115123125783e-17,3.4728350837426314e-18,1.0083080204115191e-17
0.087301257339076,1.30026722601935e-05,0.0001679691292416,0.08730125733907604,1.3002672260198703e-05,0.00016796912924169072,4.163336342344337e-17,5.202476362035913e-18,9.072061678272458e-17
0.179594274632583,0.0001620924558966,0.001617281618342,0.17959427463258307,0.00016209245589666327,0.001617281618341987,5.551115123125783e-17,6.326319676452918e-17,-1.3010426069826053e-17
0.1500561198440828,0.0001249529207204,0.0015693997972643,0.15005611984408251,0.00012495292071875233,0.0015693997972643092,-2.7755575615628914e-16,-1.647662041526221e-15,9.324138683375338e-18
0.0418967466686862,5.41131858803473e-06,0.0002388095290059,0.04189674666868659,5.411318589785934e-06,0.00023880952900590113,3.885780586188048e-16,1.7512033489985868e-15,1.1384122811097797e-18
0.1747156326437299,7.838455730459909e-05,0.0010024235412011,0.17471563264373022,7.838455730636157e-05,0.0010024235412011973,3.0531133177191805e-16,1.762479051592436e-15,9.73613550891983e-17
0.0390988967461249,2.928373775820323e-07,0.0003093274278144,0.0390988967461246,2.928373758377678e-07,0.00030932742781439315,-2.983724378680108e-16,-1.7442645080342387e-15,-6.830473686658678e-18
0.0665439500257625,4.896967076901092e-05,0.0008606998834094,0.06654395002576252,4.896967076901612e-05,0.0008606998834095048,2.7755575615628914e-17,5.204170427930421e-18,1.0473392986209973e-16
0.1371302108113302,0.0001130777838449,0.0005712832206559,0.13713021081133028,0.00011307778384491915,0.0005712832206559992,8.326672684688674e-17,1.9149720871525222e-17,9.920449878242366e-17
0.1771722354191904,0.0001263328249298,0.0012424869955365,0.17717223541919042,0.00012633282492989506,0.0012424869955365014,2.7755575615628914e-17,9.50574254726666e-17,1.5178830414797062e-18
0.1057543396004882,3.443531322109075e-05,0.0013381020607821,0.10575433960049518,3.443531321976542e-05,0.0013381020607821092,6.980527267330672e-15,-1.3253287356462806e-15,9.324138683375338e-18
0.0933193841707144,6.072546660017275e-05,0.0011614130676183,0.09331938417070751,6.0725466601518896e-05,0.001161413067618411,-6.897260540483785e-15,1.3461454173580023e-15,1.1080546202801855e-16
0.0901919093384029,1.8554024946937364e-05,0.0002011572400806,0.09019190933840293,1.8554024946940834e-05,0.0002011572400805739,2.7755575615628914e-17,3.469446951953614e-18,-2.610216730258852e-17
0.1175825521131439,3.4888397401761084e-06,2.342461346466207e-05,0.11758255211314393,3.4888397401830473e-06,2.342461346471758e-05,2.7755575615628914e-17,6.938893903907228e-18,5.551115123125783e-17
0.1714979122721504,9.693209841103027e-05,0.0014268822002287,0.17149791227215047,9.693209841103723e-05,0.0014268822002287962,8.326672684688674e-17,6.952446431063297e-18,9.627715291671279e-17
0.1271900238148192,4.380803243460643e-05,0.0005699713071847,0.1271900238148196,4.380803243635503e-05,0.0005699713071846968,4.163336342344337e-16,1.7486012637846216e-15,-3.2526065174565133e-18
0.0648603062046751,1.7009364185558568e-05,0.0005136090852513,0.0648603062046748,1.7009364183820375e-05,0.0005136090852513042,-3.0531133177191805e-16,-1.7381929229287607e-15,4.228388472693467e-18
0.2387726992898051,0.0004505953204824,0.00339765817584,0.23877269928980513,0.00045059532048248585,0.0033976581758400903,2.7755575615628914e-17,8.586881206085195e-17,9.020562075079397e-17
