timestamp,segment,state,cmd_v,cmd_omega,meas_v,meas_omega,error_v,error_omega,ideal_right_rpm,ideal_left_rpm,current_right_rpm,current_left_rpm,target_right_rpm,target_left_rpm,target_delta_right_rpm,target_delta_left_rpm,pred_right_rpm,pred_left_rpm,a_right,a_left,b_right,b_left,train_loss
1.0512743473052983,run_20260518_132537/s0,0,2.0,0.0,0.052843138575553894,-0.061697301609288144,1.947156861424446,0.061697301609288144,165.42088573330858,165.42088573330858,165.0,165.0,205.64527742029875,204.8798257493315,40.64527742029876,39.8798257493315,165.42088317871094,165.42088317871094,1.0,1.0,0.0,0.0,
1.1012743473052984,run_20260518_132537/s0,0,2.0,0.0,0.07578124105930328,0.0024980673648593876,1.9242187589406967,-0.0024980673648593876,165.42088573330858,165.42088573330858,165.0,165.0,204.77275021172287,204.8037426504316,39.77275021172286,39.803742650431595,165.42088317871094,165.42088317871094,1.0,1.0,0.0,0.0,
1.1512743473052984,run_20260518_132537/s0,0,2.0,0.0,0.07578124105930328,0.0024980673648593876,1.9242187589406967,-0.0024980673648593876,165.42088573330858,165.42088573330858,165.0,165.0,204.77275021172287,204.8037426504316,39.77275021172286,39.803742650431595,165.42088317871094,165.42088317871094,1.0,1.0,0.0,0.0,
1.2012743473052985,run_20260518_132537/s0,0,2.0,0.0,0.08625034987926483,-0.0744492839663652,1.9137496501207352,0.0744492839663652,165.42088573330858,165.42088573330858,165.0,165.0,205.03360026794493,204.1099402807504,40.03360026794493,39.109940280750415,165.42088317871094,165.42088317871094,1.0,1.0,0.0,0.0,
1.2512743473052985,run_20260518_132537/s0,0,2.0,0.0,0.08625034987926483,-0.0744492839663652,1.9137496501207352,0.0744492839663652,165.42088573330858,165.42088573330858,165.0,165.0,205.03360026794493,204.1099402807504,40.03360026794493,39.109940280750415,165.42088317871094,165.42088317871094,1.0,1.0,0.0,0.0,
1.3012743473052986,run_20260518_132537/s0,0,2.0,0.0,0.0976334810256958,-0.03939057744546737,1.9023665189743042,0.03939057744546737,165.42088573330858,165.42088573330858,165.0,165.0,204.58074522766162,204.09204341186847,39.58074522766163,39.09204341186846,165.42088317871094,165.42088317871094,1.0,1.0,0.0,0.0,
1.3512743473052986,run_20260518_132537/s0,0,2.0,0.0,0.0976334810256958,-0.03939057744546737,1.9023665189743042,0.03939057744546737,165.42088573330858,165.42088573330858,165.0,165.0,204.58074522766162,204.09204341186847,39.58074522766163,39.09204341186846,165.42088317871094,165.42088317871094,1.0,1.0,0.0,0.0,
1.4012743473052987,run_20260518_132537/s0,0,2.0,0.0,0.11583033204078674,-0.07202315805933052,1.8841696679592133,0.07202315805933052,165.42088573330858,165.42088573330858,165.0,165.0,204.40690696568655,203.5133468707252,39.40690696568654,38.5133468707252,165.42088317871094,165.42088317871094,1.0,1.0,0.0,0.0,
1.4512743473052987,run_20260518_132537/s0,0,2.0,0.0,0.11583033204078674,-0.07202315805933052,1.8841696679592133,0.07202315805933052,165.42088573330858,165.42088573330858,165.0,165.0,204.40690696568655,203.5133468707252,39.40690696568654,38.5133468707252,165.42088317871094,165.42088317871094,1.0,1.0,0.0,0.0,
1.5012743473052987,run_20260518_132537/s0,0,2.0,0.0,0.13211937248706818,-0.06421458763539786,1.8678806275129318,0.06421458763539786,165.42088573330858,165.42088573330858,165.0,165.0,204.02164975454642,203.22496720727293,39.021649754546424,38.224967207272925,165.42088317871094,165.42088317871094,1.0,1.0,0.0,0.0,
1.5512743473052988,run_20260518_132537/s0,0,2.0,0.0,0.13211937248706818,-0.06421458763539786,1.8678806275129318,0.06421458763539786,165.42088573330858,165.42088573330858,165.0,165.0,204.02164975454642,203.22496720727293,39.021649754546424,38.224967207272925,165.42088317871094,165.42088317871094,1.0,1.0,0.0,0.0,
1.6012743473052988,run_20260518_132537/s0,0,2.0,0.0,0.14180631935596466,-0.10106829136307133,1.8581936806440353,0.10106829136307133,165.42088573330858,165.42088573330858,165.0,165.0,204.0499607999028,202.79605032914046,39.049960799902806,37.796050329140456,165.42088317871094,165.42088317871094,1.0,1.0,0.0,0.0,
1.6512743473052989,run_20260518_132537/s0,0,2.0,0.0,0.14180631935596466,-0.10106829136307133,1.8581936806440353,0.10106829136307133,165.42088573330858,165.42088573330858,165.0,165.0,204.0499607999028,202.79605032914046,39.049960799902806,37.796050329140456,165.42088317871094,165.42088317871094,1.0,1.0,0.0,0.0,
